=== XM-noGNN seed=33 steps=300000 device=cpu ===
[XM-noGNN s33] step 4608/300000 success=40.0% pdr=4.6% (129s)
[XM-noGNN s33] step 9216/300000 success=45.0% pdr=4.6% (251s)
[XM-noGNN s33] step 13824/300000 success=45.0% pdr=4.6% (374s)
[XM-noGNN s33] step 18432/300000 success=45.0% pdr=4.6% (503s)
[XM-noGNN s33] step 20736/300000 success=45.0% pdr=4.6% (575s)
[XM-noGNN s33] step 25344/300000 success=50.0% pdr=4.6% (702s)
[XM-noGNN s33] step 29952/300000 success=50.0% pdr=4.6% (828s)
[XM-noGNN s33] step 34560/300000 success=50.0% pdr=4.6% (954s)
[XM-noGNN s33] step 36864/300000 success=45.0% pdr=5.3% (1024s)
[XM-noGNN s33] step 41472/300000 success=45.0% pdr=4.6% (1146s)
[XM-noGNN s33] step 46080/300000 success=45.0% pdr=4.6% (1263s)
[XM-noGNN s33] step 50688/300000 success=50.0% pdr=4.6% (1385s)
[XM-noGNN s33] step 55296/300000 success=50.0% pdr=4.6% (1509s)
[XM-noGNN s33] step 57600/300000 success=50.0% pdr=4.6% (1579s)
[XM-noGNN s33] step 62208/300000 success=50.0% pdr=4.6% (1704s)
[XM-noGNN s33] step 66816/300000 success=55.0% pdr=4.6% (1826s)
[XM-noGNN s33] step 71424/300000 success=55.0% pdr=4.6% (1951s)
[XM-noGNN s33] step 73728/300000 success=60.0% pdr=4.6% (2019s)
[XM-noGNN s33] step 78336/300000 success=60.0% pdr=4.6% (2147s)
[XM-noGNN s33] step 82944/300000 success=55.0% pdr=5.3% (2260s)
[XM-noGNN s33] step 87552/300000 success=55.0% pdr=17.3% (2374s)
[XM-noGNN s33] step 92160/300000 success=55.0% pdr=16.2% (2492s)
[XM-noGNN s33] step 94464/300000 success=60.0% pdr=8.4% (2610s)
[XM-noGNN s33] step 99072/300000 success=55.0% pdr=4.6% (2742s)
[XM-noGNN s33] step 103680/300000 success=55.0% pdr=10.5% (2854s)
[XM-noGNN s33] step 108288/300000 success=55.0% pdr=4.5% (2964s)
[XM-noGNN s33] step 110592/300000 success=55.0% pdr=4.6% (3027s)
[XM-noGNN s33] step 115200/300000 success=55.0% pdr=4.5% (3140s)
[XM-noGNN s33] step 119808/300000 success=50.0% pdr=14.7% (3254s)
[XM-noGNN s33] step 124416/300000 success=45.0% pdr=11.0% (3369s)
[XM-noGNN s33] step 129024/300000 success=55.0% pdr=18.0% (3484s)
[XM-noGNN s33] step 131328/300000 success=55.0% pdr=25.3% (3548s)
[XM-noGNN s33] step 135936/300000 success=50.0% pdr=15.3% (3657s)
[XM-noGNN s33] step 140544/300000 success=55.0% pdr=19.4% (3763s)
[XM-noGNN s33] step 145152/300000 success=50.0% pdr=13.0% (3869s)
[XM-noGNN s33] step 147456/300000 success=50.0% pdr=18.3% (3931s)
[XM-noGNN s33] step 152064/300000 success=45.0% pdr=29.7% (4047s)
[XM-noGNN s33] step 156672/300000 success=30.0% pdr=18.6% (4159s)
[XM-noGNN s33] step 161280/300000 success=35.0% pdr=19.6% (4269s)
[XM-noGNN s33] step 165888/300000 success=35.0% pdr=5.8% (4383s)
[XM-noGNN s33] step 168192/300000 success=35.0% pdr=4.6% (4446s)
[XM-noGNN s33] step 172800/300000 success=35.0% pdr=28.5% (4555s)
[XM-noGNN s33] step 177408/300000 success=35.0% pdr=19.6% (4661s)
[XM-noGNN s33] step 182016/300000 success=30.0% pdr=23.5% (4765s)
[XM-noGNN s33] step 184320/300000 success=30.0% pdr=21.9% (4826s)
[XM-noGNN s33] step 188928/300000 success=35.0% pdr=22.0% (4934s)
[XM-noGNN s33] step 193536/300000 success=35.0% pdr=30.8% (5042s)
[XM-noGNN s33] step 198144/300000 success=35.0% pdr=23.9% (5149s)
[XM-noGNN s33] step 202752/300000 success=35.0% pdr=20.9% (5254s)
[XM-noGNN s33] step 205056/300000 success=35.0% pdr=19.2% (5315s)
[XM-noGNN s33] step 209664/300000 success=40.0% pdr=14.6% (5424s)
[XM-noGNN s33] step 214272/300000 success=35.0% pdr=17.5% (5532s)
[XM-noGNN s33] step 218880/300000 success=35.0% pdr=17.9% (5638s)
[XM-noGNN s33] step 221184/300000 success=35.0% pdr=17.8% (5698s)
[XM-noGNN s33] step 225792/300000 success=35.0% pdr=17.2% (5805s)
[XM-noGNN s33] step 230400/300000 success=35.0% pdr=18.7% (5911s)
[XM-noGNN s33] step 235008/300000 success=35.0% pdr=18.1% (6016s)
[XM-noGNN s33] step 239616/300000 success=30.0% pdr=23.2% (6124s)
[XM-noGNN s33] step 241920/300000 success=45.0% pdr=19.3% (6187s)
[XM-noGNN s33] step 246528/300000 success=40.0% pdr=21.4% (6298s)
[XM-noGNN s33] step 251136/300000 success=35.0% pdr=22.7% (6451s)
[XM-noGNN s33] step 255744/300000 success=40.0% pdr=26.8% (6591s)
[XM-noGNN s33] step 258048/300000 success=40.0% pdr=28.5% (6653s)
[XM-noGNN s33] step 262656/300000 success=40.0% pdr=5.0% (6762s)
[XM-noGNN s33] step 267264/300000 success=40.0% pdr=7.1% (6874s)
[XM-noGNN s33] step 271872/300000 success=40.0% pdr=7.0% (6985s)
[XM-noGNN s33] step 276480/300000 success=40.0% pdr=13.8% (7097s)
[XM-noGNN s33] step 278784/300000 success=40.0% pdr=21.6% (7159s)
[XM-noGNN s33] step 283392/300000 success=45.0% pdr=19.0% (7274s)
[XM-noGNN s33] step 288000/300000 success=45.0% pdr=33.0% (7387s)
[XM-noGNN s33] step 292608/300000 success=45.0% pdr=31.9% (7553s)
[XM-noGNN s33] step 294912/300000 success=45.0% pdr=16.9% (7617s)
[XM-noGNN s33] step 299520/300000 success=45.0% pdr=18.5% (7728s)
FINAL XM-noGNN s33: success=31.7%  pdr=22.3%  antijam=84.9%  sinr=0.17dB  energy=0.811
