=== XM-noGNN seed=33 steps=300000 device=cpu ===
[XM-noGNN s33] step 4608/300000 success=35.0% pdr=34.6% (155s)
[XM-noGNN s33] step 9216/300000 success=35.0% pdr=32.3% (330s)
[XM-noGNN s33] step 13824/300000 success=35.0% pdr=32.6% (460s)
[XM-noGNN s33] step 18432/300000 success=40.0% pdr=28.8% (633s)
[XM-noGNN s33] step 20736/300000 success=35.0% pdr=24.2% (706s)
[XM-noGNN s33] step 25344/300000 success=45.0% pdr=24.8% (807s)
[XM-noGNN s33] step 29952/300000 success=40.0% pdr=17.9% (870s)
[XM-noGNN s33] step 34560/300000 success=45.0% pdr=23.4% (929s)
[XM-noGNN s33] step 36864/300000 success=35.0% pdr=21.5% (965s)
[XM-noGNN s33] step 41472/300000 success=40.0% pdr=15.2% (1083s)
[XM-noGNN s33] step 46080/300000 success=40.0% pdr=13.5% (1253s)
[XM-noGNN s33] step 50688/300000 success=40.0% pdr=13.6% (1379s)
[XM-noGNN s33] step 55296/300000 success=45.0% pdr=13.5% (1555s)
[XM-noGNN s33] step 57600/300000 success=45.0% pdr=14.2% (1623s)
[XM-noGNN s33] step 62208/300000 success=45.0% pdr=15.3% (1798s)
[XM-noGNN s33] step 66816/300000 success=45.0% pdr=11.4% (1924s)
[XM-noGNN s33] step 71424/300000 success=45.0% pdr=11.6% (2100s)
[XM-noGNN s33] step 73728/300000 success=35.0% pdr=14.5% (2175s)
[XM-noGNN s33] step 78336/300000 success=35.0% pdr=19.0% (2362s)
[XM-noGNN s33] step 82944/300000 success=35.0% pdr=27.3% (2497s)
[XM-noGNN s33] step 87552/300000 success=45.0% pdr=29.5% (2671s)
[XM-noGNN s33] step 92160/300000 success=35.0% pdr=30.1% (2819s)
[XM-noGNN s33] step 94464/300000 success=35.0% pdr=29.4% (2915s)
[XM-noGNN s33] step 99072/300000 success=40.0% pdr=29.3% (3048s)
[XM-noGNN s33] step 103680/300000 success=50.0% pdr=30.3% (3222s)
[XM-noGNN s33] step 108288/300000 success=50.0% pdr=29.5% (3354s)
[XM-noGNN s33] step 110592/300000 success=55.0% pdr=27.5% (3466s)
[XM-noGNN s33] step 115200/300000 success=50.0% pdr=26.3% (3588s)
[XM-noGNN s33] step 119808/300000 success=50.0% pdr=26.1% (3764s)
[XM-noGNN s33] step 124416/300000 success=40.0% pdr=27.7% (3888s)
[XM-noGNN s33] step 129024/300000 success=40.0% pdr=29.4% (4076s)
[XM-noGNN s33] step 131328/300000 success=35.0% pdr=32.0% (4142s)
[XM-noGNN s33] step 135936/300000 success=45.0% pdr=37.3% (4274s)
[XM-noGNN s33] step 140544/300000 success=45.0% pdr=44.8% (4393s)
[XM-noGNN s33] step 145152/300000 success=45.0% pdr=47.6% (4484s)
[XM-noGNN s33] step 147456/300000 success=50.0% pdr=47.0% (4552s)
[XM-noGNN s33] step 152064/300000 success=45.0% pdr=49.6% (4693s)
[XM-noGNN s33] step 156672/300000 success=45.0% pdr=53.3% (4787s)
[XM-noGNN s33] step 161280/300000 success=45.0% pdr=53.6% (4920s)
[XM-noGNN s33] step 165888/300000 success=45.0% pdr=53.8% (4989s)
[XM-noGNN s33] step 168192/300000 success=45.0% pdr=53.5% (5017s)
[XM-noGNN s33] step 172800/300000 success=40.0% pdr=52.9% (5102s)
[XM-noGNN s33] step 177408/300000 success=40.0% pdr=54.2% (5171s)
[XM-noGNN s33] step 182016/300000 success=40.0% pdr=55.2% (5271s)
[XM-noGNN s33] step 184320/300000 success=40.0% pdr=54.3% (5311s)
[XM-noGNN s33] step 188928/300000 success=40.0% pdr=53.4% (5445s)
