=== XM-MADRL seed=22 steps=300000 device=cpu ===
[XM-MADRL s22] step 4608/300000 success=45.0% pdr=4.5% (47s)
[XM-MADRL s22] step 9216/300000 success=45.0% pdr=20.1% (103s)
[XM-MADRL s22] step 13824/300000 success=45.0% pdr=4.5% (261s)
[XM-MADRL s22] step 18432/300000 success=35.0% pdr=4.6% (426s)
[XM-MADRL s22] step 20736/300000 success=35.0% pdr=4.6% (516s)
[XM-MADRL s22] step 25344/300000 success=35.0% pdr=7.2% (655s)
[XM-MADRL s22] step 29952/300000 success=40.0% pdr=11.6% (819s)
[XM-MADRL s22] step 34560/300000 success=35.0% pdr=4.6% (984s)
[XM-MADRL s22] step 36864/300000 success=40.0% pdr=9.6% (1074s)
[XM-MADRL s22] step 41472/300000 success=35.0% pdr=22.1% (1235s)
[XM-MADRL s22] step 46080/300000 success=40.0% pdr=4.6% (1398s)
[XM-MADRL s22] step 50688/300000 success=45.0% pdr=4.7% (1564s)
[XM-MADRL s22] step 55296/300000 success=40.0% pdr=25.3% (1729s)
[XM-MADRL s22] step 57600/300000 success=45.0% pdr=10.6% (1825s)
[XM-MADRL s22] step 62208/300000 success=45.0% pdr=4.6% (1986s)
[XM-MADRL s22] step 66816/300000 success=45.0% pdr=20.8% (2125s)
[XM-MADRL s22] step 71424/300000 success=45.0% pdr=22.9% (2294s)
[XM-MADRL s22] step 73728/300000 success=45.0% pdr=4.5% (2388s)
[XM-MADRL s22] step 78336/300000 success=45.0% pdr=4.5% (2553s)
[XM-MADRL s22] step 82944/300000 success=40.0% pdr=5.3% (2717s)
[XM-MADRL s22] step 87552/300000 success=35.0% pdr=16.0% (2862s)
[XM-MADRL s22] step 92160/300000 success=40.0% pdr=4.6% (3017s)
[XM-MADRL s22] step 94464/300000 success=45.0% pdr=10.9% (3119s)
[XM-MADRL s22] step 99072/300000 success=35.0% pdr=4.5% (3298s)
[XM-MADRL s22] step 103680/300000 success=45.0% pdr=4.5% (3457s)
[XM-MADRL s22] step 108288/300000 success=40.0% pdr=10.8% (3506s)
[XM-MADRL s22] step 110592/300000 success=35.0% pdr=16.9% (3534s)
[XM-MADRL s22] step 115200/300000 success=35.0% pdr=4.6% (3587s)
[XM-MADRL s22] step 119808/300000 success=40.0% pdr=19.0% (3643s)
[XM-MADRL s22] step 124416/300000 success=40.0% pdr=22.7% (3697s)
[XM-MADRL s22] step 129024/300000 success=40.0% pdr=26.0% (3750s)
[XM-MADRL s22] step 131328/300000 success=40.0% pdr=19.4% (3778s)
[XM-MADRL s22] step 135936/300000 success=50.0% pdr=4.7% (3832s)
[XM-MADRL s22] step 140544/300000 success=50.0% pdr=4.7% (3980s)
[XM-MADRL s22] step 145152/300000 success=45.0% pdr=4.7% (4171s)
[XM-MADRL s22] step 147456/300000 success=50.0% pdr=4.7% (4225s)
[XM-MADRL s22] step 152064/300000 success=45.0% pdr=5.2% (4324s)
[XM-MADRL s22] step 156672/300000 success=45.0% pdr=10.3% (4377s)
[XM-MADRL s22] step 161280/300000 success=45.0% pdr=21.9% (4567s)
[XM-MADRL s22] step 165888/300000 success=45.0% pdr=16.9% (4746s)
[XM-MADRL s22] step 168192/300000 success=45.0% pdr=14.1% (4848s)
[XM-MADRL s22] step 172800/300000 success=55.0% pdr=15.4% (5023s)
[XM-MADRL s22] step 177408/300000 success=50.0% pdr=20.3% (5141s)
[XM-MADRL s22] step 182016/300000 success=45.0% pdr=22.5% (5199s)
[XM-MADRL s22] step 184320/300000 success=45.0% pdr=21.4% (5233s)
[XM-MADRL s22] step 188928/300000 success=40.0% pdr=24.8% (5298s)
[XM-MADRL s22] step 193536/300000 success=40.0% pdr=30.5% (5365s)
[XM-MADRL s22] step 198144/300000 success=40.0% pdr=7.1% (5432s)
[XM-MADRL s22] step 202752/300000 success=45.0% pdr=18.2% (5506s)
[XM-MADRL s22] step 205056/300000 success=40.0% pdr=14.5% (5546s)
[XM-MADRL s22] step 209664/300000 success=40.0% pdr=14.2% (5608s)
[XM-MADRL s22] step 214272/300000 success=40.0% pdr=14.2% (5671s)
[XM-MADRL s22] step 218880/300000 success=40.0% pdr=28.5% (5762s)
[XM-MADRL s22] step 221184/300000 success=35.0% pdr=20.8% (5838s)
[XM-MADRL s22] step 225792/300000 success=35.0% pdr=28.5% (6018s)
[XM-MADRL s22] step 230400/300000 success=40.0% pdr=22.1% (6190s)
[XM-MADRL s22] step 235008/300000 success=35.0% pdr=29.3% (6326s)
