=== XM-noGNN seed=22 steps=300000 device=cpu ===
[XM-noGNN s22] step 4608/300000 success=45.0% pdr=22.8% (156s)
[XM-noGNN s22] step 9216/300000 success=45.0% pdr=27.6% (333s)
[XM-noGNN s22] step 13824/300000 success=50.0% pdr=23.5% (463s)
[XM-noGNN s22] step 18432/300000 success=45.0% pdr=28.6% (634s)
[XM-noGNN s22] step 20736/300000 success=35.0% pdr=30.2% (707s)
[XM-noGNN s22] step 25344/300000 success=45.0% pdr=28.8% (807s)
[XM-noGNN s22] step 29952/300000 success=45.0% pdr=31.6% (871s)
[XM-noGNN s22] step 34560/300000 success=45.0% pdr=26.6% (952s)
[XM-noGNN s22] step 36864/300000 success=45.0% pdr=19.6% (1017s)
[XM-noGNN s22] step 41472/300000 success=45.0% pdr=15.9% (1166s)
[XM-noGNN s22] step 46080/300000 success=45.0% pdr=16.9% (1310s)
[XM-noGNN s22] step 50688/300000 success=45.0% pdr=19.0% (1486s)
[XM-noGNN s22] step 55296/300000 success=40.0% pdr=16.9% (1611s)
[XM-noGNN s22] step 57600/300000 success=45.0% pdr=13.7% (1704s)
[XM-noGNN s22] step 62208/300000 success=45.0% pdr=11.0% (1858s)
[XM-noGNN s22] step 66816/300000 success=45.0% pdr=11.8% (2028s)
[XM-noGNN s22] step 71424/300000 success=45.0% pdr=20.6% (2159s)
[XM-noGNN s22] step 73728/300000 success=45.0% pdr=24.9% (2274s)
[XM-noGNN s22] step 78336/300000 success=35.0% pdr=30.1% (2418s)
[XM-noGNN s22] step 82944/300000 success=35.0% pdr=32.7% (2599s)
[XM-noGNN s22] step 87552/300000 success=45.0% pdr=31.5% (2723s)
[XM-noGNN s22] step 92160/300000 success=35.0% pdr=36.8% (2898s)
[XM-noGNN s22] step 94464/300000 success=35.0% pdr=37.6% (2969s)
[XM-noGNN s22] step 99072/300000 success=45.0% pdr=36.9% (3140s)
[XM-noGNN s22] step 103680/300000 success=40.0% pdr=41.1% (3275s)
[XM-noGNN s22] step 108288/300000 success=45.0% pdr=29.9% (3448s)
[XM-noGNN s22] step 110592/300000 success=45.0% pdr=27.4% (3517s)
[XM-noGNN s22] step 115200/300000 success=45.0% pdr=27.9% (3677s)
[XM-noGNN s22] step 119808/300000 success=45.0% pdr=30.8% (3812s)
[XM-noGNN s22] step 124416/300000 success=35.0% pdr=33.2% (3972s)
[XM-noGNN s22] step 129024/300000 success=30.0% pdr=32.5% (4122s)
[XM-noGNN s22] step 131328/300000 success=35.0% pdr=29.8% (4180s)
[XM-noGNN s22] step 135936/300000 success=35.0% pdr=27.3% (4334s)
[XM-noGNN s22] step 140544/300000 success=35.0% pdr=25.7% (4427s)
[XM-noGNN s22] step 145152/300000 success=35.0% pdr=25.4% (4524s)
[XM-noGNN s22] step 147456/300000 success=35.0% pdr=25.5% (4626s)
[XM-noGNN s22] step 152064/300000 success=35.0% pdr=26.1% (4731s)
[XM-noGNN s22] step 156672/300000 success=35.0% pdr=28.7% (4827s)
[XM-noGNN s22] step 161280/300000 success=35.0% pdr=32.2% (4959s)
[XM-noGNN s22] step 165888/300000 success=35.0% pdr=38.2% (5009s)
[XM-noGNN s22] step 168192/300000 success=30.0% pdr=39.8% (5040s)
[XM-noGNN s22] step 172800/300000 success=35.0% pdr=41.6% (5126s)
[XM-noGNN s22] step 177408/300000 success=40.0% pdr=41.8% (5205s)
[XM-noGNN s22] step 182016/300000 success=40.0% pdr=41.6% (5294s)
[XM-noGNN s22] step 184320/300000 success=40.0% pdr=41.1% (5352s)
[XM-noGNN s22] step 188928/300000 success=35.0% pdr=40.4% (5482s)
