=== XM-noGNN seed=22 steps=300000 device=cpu ===
[XM-noGNN s22] step 4608/300000 success=45.0% pdr=12.8% (122s)
[XM-noGNN s22] step 9216/300000 success=45.0% pdr=13.8% (235s)
[XM-noGNN s22] step 13824/300000 success=50.0% pdr=21.9% (354s)
[XM-noGNN s22] step 18432/300000 success=45.0% pdr=4.6% (477s)
[XM-noGNN s22] step 20736/300000 success=50.0% pdr=4.5% (551s)
[XM-noGNN s22] step 25344/300000 success=50.0% pdr=4.5% (679s)
[XM-noGNN s22] step 29952/300000 success=45.0% pdr=4.5% (804s)
[XM-noGNN s22] step 34560/300000 success=55.0% pdr=4.5% (934s)
[XM-noGNN s22] step 36864/300000 success=45.0% pdr=4.5% (1006s)
[XM-noGNN s22] step 41472/300000 success=50.0% pdr=16.6% (1128s)
[XM-noGNN s22] step 46080/300000 success=50.0% pdr=4.6% (1253s)
[XM-noGNN s22] step 50688/300000 success=45.0% pdr=16.7% (1380s)
[XM-noGNN s22] step 55296/300000 success=45.0% pdr=11.1% (1508s)
[XM-noGNN s22] step 57600/300000 success=45.0% pdr=4.8% (1581s)
[XM-noGNN s22] step 62208/300000 success=45.0% pdr=12.8% (1707s)
[XM-noGNN s22] step 66816/300000 success=45.0% pdr=4.5% (1828s)
[XM-noGNN s22] step 71424/300000 success=45.0% pdr=4.5% (1950s)
[XM-noGNN s22] step 73728/300000 success=45.0% pdr=4.5% (2020s)
[XM-noGNN s22] step 78336/300000 success=45.0% pdr=4.5% (2187s)
[XM-noGNN s22] step 82944/300000 success=45.0% pdr=4.6% (2327s)
[XM-noGNN s22] step 87552/300000 success=45.0% pdr=4.6% (2456s)
[XM-noGNN s22] step 92160/300000 success=50.0% pdr=4.6% (2581s)
[XM-noGNN s22] step 94464/300000 success=50.0% pdr=4.6% (2652s)
[XM-noGNN s22] step 99072/300000 success=50.0% pdr=4.6% (2775s)
[XM-noGNN s22] step 103680/300000 success=50.0% pdr=6.3% (2898s)
[XM-noGNN s22] step 108288/300000 success=40.0% pdr=4.5% (3026s)
[XM-noGNN s22] step 110592/300000 success=40.0% pdr=4.5% (3100s)
[XM-noGNN s22] step 115200/300000 success=50.0% pdr=4.5% (3227s)
[XM-noGNN s22] step 119808/300000 success=50.0% pdr=4.5% (3356s)
[XM-noGNN s22] step 124416/300000 success=50.0% pdr=4.5% (3478s)
[XM-noGNN s22] step 129024/300000 success=50.0% pdr=5.1% (3602s)
[XM-noGNN s22] step 131328/300000 success=50.0% pdr=17.6% (3671s)
[XM-noGNN s22] step 135936/300000 success=50.0% pdr=4.6% (3792s)
[XM-noGNN s22] step 140544/300000 success=50.0% pdr=4.5% (3919s)
[XM-noGNN s22] step 145152/300000 success=50.0% pdr=4.5% (4042s)
[XM-noGNN s22] step 147456/300000 success=50.0% pdr=4.5% (4116s)
[XM-noGNN s22] step 152064/300000 success=50.0% pdr=4.5% (4242s)
[XM-noGNN s22] step 156672/300000 success=45.0% pdr=4.5% (4365s)
[XM-noGNN s22] step 161280/300000 success=45.0% pdr=4.5% (4485s)
[XM-noGNN s22] step 165888/300000 success=45.0% pdr=4.5% (4603s)
[XM-noGNN s22] step 168192/300000 success=45.0% pdr=4.5% (4670s)
[XM-noGNN s22] step 172800/300000 success=45.0% pdr=5.0% (4789s)
[XM-noGNN s22] step 177408/300000 success=50.0% pdr=4.6% (4909s)
[XM-noGNN s22] step 182016/300000 success=35.0% pdr=4.6% (5030s)
[XM-noGNN s22] step 184320/300000 success=45.0% pdr=4.6% (5102s)
[XM-noGNN s22] step 188928/300000 success=40.0% pdr=4.6% (5223s)
[XM-noGNN s22] step 193536/300000 success=45.0% pdr=15.3% (5347s)
[XM-noGNN s22] step 198144/300000 success=40.0% pdr=23.5% (5465s)
[XM-noGNN s22] step 202752/300000 success=40.0% pdr=4.8% (5587s)
[XM-noGNN s22] step 205056/300000 success=35.0% pdr=4.6% (5652s)
[XM-noGNN s22] step 209664/300000 success=35.0% pdr=7.1% (5768s)
[XM-noGNN s22] step 214272/300000 success=40.0% pdr=19.6% (5881s)
[XM-noGNN s22] step 218880/300000 success=45.0% pdr=36.8% (6064s)
[XM-noGNN s22] step 221184/300000 success=45.0% pdr=33.3% (6134s)
[XM-noGNN s22] step 225792/300000 success=50.0% pdr=15.6% (6246s)
[XM-noGNN s22] step 230400/300000 success=45.0% pdr=4.6% (6357s)
[XM-noGNN s22] step 235008/300000 success=40.0% pdr=14.6% (6467s)
[XM-noGNN s22] step 239616/300000 success=45.0% pdr=20.9% (6580s)
[XM-noGNN s22] step 241920/300000 success=50.0% pdr=34.4% (6644s)
[XM-noGNN s22] step 246528/300000 success=50.0% pdr=23.8% (6760s)
[XM-noGNN s22] step 251136/300000 success=50.0% pdr=19.6% (6875s)
[XM-noGNN s22] step 255744/300000 success=40.0% pdr=30.6% (6986s)
[XM-noGNN s22] step 258048/300000 success=30.0% pdr=31.3% (7049s)
[XM-noGNN s22] step 262656/300000 success=35.0% pdr=28.3% (7157s)
[XM-noGNN s22] step 267264/300000 success=45.0% pdr=18.5% (7262s)
[XM-noGNN s22] step 271872/300000 success=45.0% pdr=19.5% (7370s)
[XM-noGNN s22] step 276480/300000 success=45.0% pdr=18.3% (7483s)
[XM-noGNN s22] step 278784/300000 success=40.0% pdr=18.0% (7549s)
[XM-noGNN s22] step 283392/300000 success=40.0% pdr=7.5% (7660s)
[XM-noGNN s22] step 288000/300000 success=40.0% pdr=16.9% (7773s)
[XM-noGNN s22] step 292608/300000 success=35.0% pdr=32.4% (7885s)
[XM-noGNN s22] step 294912/300000 success=35.0% pdr=25.6% (7947s)
[XM-noGNN s22] step 299520/300000 success=35.0% pdr=27.3% (8055s)
FINAL XM-noGNN s22: success=35.0%  pdr=33.1%  antijam=86.7%  sinr=1.32dB  energy=0.918
