=== PPO seed=22 steps=300000 device=cpu ===
[PPO s22] step 4096/300000 success=50.0% pdr=45.1% (10s)
[PPO s22] step 8192/300000 success=45.0% pdr=36.1% (23s)
[PPO s22] step 12288/300000 success=40.0% pdr=39.0% (36s)
[PPO s22] step 16384/300000 success=35.0% pdr=41.6% (48s)
[PPO s22] step 20480/300000 success=45.0% pdr=45.2% (60s)
[PPO s22] step 24576/300000 success=50.0% pdr=54.0% (75s)
[PPO s22] step 28672/300000 success=30.0% pdr=56.2% (87s)
[PPO s22] step 32768/300000 success=35.0% pdr=47.1% (108s)
[PPO s22] step 36864/300000 success=50.0% pdr=57.3% (149s)
[PPO s22] step 40960/300000 success=45.0% pdr=53.9% (190s)
[PPO s22] step 45056/300000 success=45.0% pdr=52.7% (229s)
[PPO s22] step 49152/300000 success=35.0% pdr=52.0% (269s)
[PPO s22] step 53248/300000 success=50.0% pdr=55.1% (309s)
[PPO s22] step 57344/300000 success=50.0% pdr=51.8% (351s)
[PPO s22] step 61440/300000 success=50.0% pdr=57.5% (395s)
[PPO s22] step 65536/300000 success=35.0% pdr=50.7% (437s)
[PPO s22] step 69632/300000 success=45.0% pdr=52.9% (476s)
[PPO s22] step 73728/300000 success=45.0% pdr=53.3% (516s)
[PPO s22] step 77824/300000 success=50.0% pdr=55.2% (528s)
[PPO s22] step 81920/300000 success=30.0% pdr=54.3% (572s)
[PPO s22] step 86016/300000 success=40.0% pdr=57.4% (613s)
[PPO s22] step 90112/300000 success=35.0% pdr=55.1% (654s)
[PPO s22] step 94208/300000 success=35.0% pdr=57.8% (696s)
[PPO s22] step 98304/300000 success=35.0% pdr=54.3% (738s)
[PPO s22] step 102400/300000 success=35.0% pdr=56.9% (780s)
[PPO s22] step 106496/300000 success=35.0% pdr=52.3% (821s)
[PPO s22] step 110592/300000 success=35.0% pdr=52.3% (863s)
[PPO s22] step 114688/300000 success=35.0% pdr=54.7% (904s)
[PPO s22] step 118784/300000 success=50.0% pdr=53.9% (946s)
[PPO s22] step 122880/300000 success=45.0% pdr=57.6% (987s)
[PPO s22] step 126976/300000 success=55.0% pdr=58.5% (1027s)
[PPO s22] step 131072/300000 success=50.0% pdr=58.2% (1067s)
[PPO s22] step 135168/300000 success=45.0% pdr=58.2% (1107s)
[PPO s22] step 139264/300000 success=40.0% pdr=57.8% (1146s)
[PPO s22] step 143360/300000 success=35.0% pdr=57.9% (1191s)
[PPO s22] step 147456/300000 success=45.0% pdr=58.2% (1231s)
[PPO s22] step 151552/300000 success=35.0% pdr=57.6% (1271s)
[PPO s22] step 155648/300000 success=50.0% pdr=59.3% (1311s)
[PPO s22] step 159744/300000 success=45.0% pdr=54.7% (1355s)
[PPO s22] step 163840/300000 success=35.0% pdr=55.3% (1396s)
[PPO s22] step 167936/300000 success=40.0% pdr=56.3% (1438s)
[PPO s22] step 172032/300000 success=45.0% pdr=55.3% (1480s)
[PPO s22] step 176128/300000 success=45.0% pdr=57.0% (1523s)
[PPO s22] step 180224/300000 success=45.0% pdr=56.1% (1565s)
[PPO s22] step 184320/300000 success=45.0% pdr=52.8% (1607s)
[PPO s22] step 188416/300000 success=45.0% pdr=55.3% (1650s)
[PPO s22] step 192512/300000 success=40.0% pdr=54.2% (1692s)
[PPO s22] step 196608/300000 success=45.0% pdr=54.3% (1733s)
[PPO s22] step 200704/300000 success=45.0% pdr=56.9% (1776s)
[PPO s22] step 204800/300000 success=45.0% pdr=57.3% (1819s)
[PPO s22] step 208896/300000 success=35.0% pdr=59.3% (1861s)
[PPO s22] step 212992/300000 success=40.0% pdr=58.9% (1903s)
[PPO s22] step 217088/300000 success=40.0% pdr=58.4% (1944s)
[PPO s22] step 221184/300000 success=50.0% pdr=57.0% (1983s)
[PPO s22] step 225280/300000 success=35.0% pdr=55.5% (2026s)
[PPO s22] step 229376/300000 success=35.0% pdr=54.0% (2067s)
[PPO s22] step 233472/300000 success=35.0% pdr=57.6% (2108s)
[PPO s22] step 237568/300000 success=45.0% pdr=56.5% (2123s)
[PPO s22] step 241664/300000 success=45.0% pdr=56.6% (2162s)
[PPO s22] step 245760/300000 success=45.0% pdr=55.4% (2206s)
[PPO s22] step 249856/300000 success=50.0% pdr=57.0% (2249s)
[PPO s22] step 253952/300000 success=50.0% pdr=58.9% (2291s)
[PPO s22] step 258048/300000 success=40.0% pdr=58.8% (2333s)
[PPO s22] step 262144/300000 success=60.0% pdr=59.6% (2375s)
[PPO s22] step 266240/300000 success=50.0% pdr=58.5% (2416s)
[PPO s22] step 270336/300000 success=55.0% pdr=57.2% (2459s)
[PPO s22] step 274432/300000 success=55.0% pdr=59.2% (2501s)
[PPO s22] step 278528/300000 success=45.0% pdr=59.0% (2543s)
[PPO s22] step 282624/300000 success=50.0% pdr=58.1% (2585s)
[PPO s22] step 286720/300000 success=50.0% pdr=58.4% (2627s)
[PPO s22] step 290816/300000 success=40.0% pdr=57.8% (2669s)
[PPO s22] step 294912/300000 success=30.0% pdr=57.3% (2710s)
[PPO s22] step 299008/300000 success=45.0% pdr=57.4% (2753s)
FINAL PPO s22: success=33.3%  pdr=55.8%  antijam=98.4%  sinr=3.64dB  energy=1.029
