=== XM-noTrans seed=11 steps=300000 device=cpu ===
[XM-noTrans s11] step 4608/300000 success=40.0% pdr=22.2% (86s)
[XM-noTrans s11] step 9216/300000 success=35.0% pdr=24.3% (140s)
[XM-noTrans s11] step 13824/300000 success=30.0% pdr=31.1% (191s)
[XM-noTrans s11] step 18432/300000 success=40.0% pdr=38.0% (258s)
[XM-noTrans s11] step 20736/300000 success=40.0% pdr=40.1% (327s)
[XM-noTrans s11] step 25344/300000 success=45.0% pdr=43.2% (385s)
[XM-noTrans s11] step 29952/300000 success=45.0% pdr=42.3% (438s)
[XM-noTrans s11] step 34560/300000 success=40.0% pdr=41.5% (490s)
[XM-noTrans s11] step 36864/300000 success=35.0% pdr=41.0% (529s)
[XM-noTrans s11] step 41472/300000 success=35.0% pdr=38.1% (622s)
[XM-noTrans s11] step 46080/300000 success=35.0% pdr=26.9% (677s)
[XM-noTrans s11] step 50688/300000 success=45.0% pdr=23.8% (729s)
[XM-noTrans s11] step 55296/300000 success=55.0% pdr=32.7% (783s)
[XM-noTrans s11] step 57600/300000 success=50.0% pdr=36.5% (806s)
[XM-noTrans s11] step 62208/300000 success=55.0% pdr=39.2% (831s)
[XM-noTrans s11] step 66816/300000 success=55.0% pdr=38.8% (853s)
[XM-noTrans s11] step 71424/300000 success=45.0% pdr=36.2% (878s)
[XM-noTrans s11] step 73728/300000 success=45.0% pdr=34.5% (892s)
[XM-noTrans s11] step 78336/300000 success=50.0% pdr=30.6% (925s)
[XM-noTrans s11] step 82944/300000 success=50.0% pdr=30.5% (950s)
[XM-noTrans s11] step 87552/300000 success=50.0% pdr=30.7% (974s)
[XM-noTrans s11] step 92160/300000 success=55.0% pdr=31.8% (1030s)
[XM-noTrans s11] step 94464/300000 success=50.0% pdr=34.8% (1063s)
[XM-noTrans s11] step 99072/300000 success=45.0% pdr=39.4% (1118s)
[XM-noTrans s11] step 103680/300000 success=40.0% pdr=42.6% (1211s)
[XM-noTrans s11] step 108288/300000 success=35.0% pdr=46.6% (1269s)
[XM-noTrans s11] step 110592/300000 success=40.0% pdr=46.9% (1300s)
[XM-noTrans s11] step 115200/300000 success=40.0% pdr=47.2% (1350s)
[XM-noTrans s11] step 119808/300000 success=35.0% pdr=43.6% (1430s)
[XM-noTrans s11] step 124416/300000 success=45.0% pdr=42.0% (1514s)
[XM-noTrans s11] step 129024/300000 success=45.0% pdr=41.9% (1565s)
[XM-noTrans s11] step 131328/300000 success=45.0% pdr=42.1% (1595s)
[XM-noTrans s11] step 135936/300000 success=45.0% pdr=42.2% (1645s)
[XM-noTrans s11] step 140544/300000 success=45.0% pdr=42.8% (1729s)
[XM-noTrans s11] step 145152/300000 success=45.0% pdr=44.0% (1802s)
[XM-noTrans s11] step 147456/300000 success=45.0% pdr=45.1% (1833s)
[XM-noTrans s11] step 152064/300000 success=40.0% pdr=49.7% (1885s)
[XM-noTrans s11] step 156672/300000 success=45.0% pdr=50.0% (1942s)
[XM-noTrans s11] step 161280/300000 success=50.0% pdr=49.3% (2039s)
[XM-noTrans s11] step 165888/300000 success=50.0% pdr=50.8% (2096s)
[XM-noTrans s11] step 168192/300000 success=50.0% pdr=48.7% (2129s)
[XM-noTrans s11] step 172800/300000 success=45.0% pdr=49.4% (2184s)
[XM-noTrans s11] step 177408/300000 success=50.0% pdr=47.8% (2280s)
[XM-noTrans s11] step 182016/300000 success=45.0% pdr=45.8% (2350s)
[XM-noTrans s11] step 184320/300000 success=30.0% pdr=45.4% (2381s)
[XM-noTrans s11] step 188928/300000 success=30.0% pdr=46.0% (2433s)
[XM-noTrans s11] step 193536/300000 success=40.0% pdr=47.6% (2494s)
[XM-noTrans s11] step 198144/300000 success=35.0% pdr=51.0% (2593s)
[XM-noTrans s11] step 202752/300000 success=35.0% pdr=54.1% (2650s)
[XM-noTrans s11] step 205056/300000 success=40.0% pdr=54.3% (2681s)
[XM-noTrans s11] step 209664/300000 success=40.0% pdr=53.3% (2730s)
[XM-noTrans s11] step 214272/300000 success=50.0% pdr=52.6% (2800s)
[XM-noTrans s11] step 218880/300000 success=40.0% pdr=51.9% (2888s)
[XM-noTrans s11] step 221184/300000 success=40.0% pdr=51.6% (2919s)
[XM-noTrans s11] step 225792/300000 success=40.0% pdr=51.3% (2972s)
[XM-noTrans s11] step 230400/300000 success=35.0% pdr=51.0% (3026s)
[XM-noTrans s11] step 235008/300000 success=35.0% pdr=49.6% (3106s)
[XM-noTrans s11] step 239616/300000 success=35.0% pdr=49.3% (3187s)
[XM-noTrans s11] step 241920/300000 success=35.0% pdr=50.1% (3219s)
[XM-noTrans s11] step 246528/300000 success=35.0% pdr=51.3% (3271s)
[XM-noTrans s11] step 251136/300000 success=40.0% pdr=52.0% (3322s)
[XM-noTrans s11] step 255744/300000 success=40.0% pdr=52.8% (3406s)
[XM-noTrans s11] step 258048/300000 success=40.0% pdr=53.2% (3456s)
[XM-noTrans s11] step 262656/300000 success=45.0% pdr=53.4% (3507s)
