=== XM-noMAML seed=55 steps=300000 device=cpu ===
[XM-noMAML s55] step 4096/300000 success=50.0% pdr=6.9% (207s)
[XM-noMAML s55] step 8192/300000 success=40.0% pdr=23.3% (411s)
[XM-noMAML s55] step 12288/300000 success=45.0% pdr=17.7% (610s)
[XM-noMAML s55] step 16384/300000 success=45.0% pdr=21.1% (802s)
[XM-noMAML s55] step 20480/300000 success=40.0% pdr=14.0% (987s)
[XM-noMAML s55] step 24576/300000 success=50.0% pdr=29.9% (1180s)
[XM-noMAML s55] step 28672/300000 success=30.0% pdr=20.0% (1383s)
[XM-noMAML s55] step 32768/300000 success=45.0% pdr=14.3% (1587s)
[XM-noMAML s55] step 36864/300000 success=45.0% pdr=16.0% (1784s)
[XM-noMAML s55] step 40960/300000 success=30.0% pdr=18.3% (1985s)
[XM-noMAML s55] step 45056/300000 success=45.0% pdr=18.9% (2189s)
[XM-noMAML s55] step 49152/300000 success=40.0% pdr=18.9% (2389s)
[XM-noMAML s55] step 53248/300000 success=35.0% pdr=26.0% (2582s)
[XM-noMAML s55] step 57344/300000 success=30.0% pdr=29.4% (2782s)
[XM-noMAML s55] step 61440/300000 success=40.0% pdr=29.8% (3035s)
[XM-noMAML s55] step 65536/300000 success=45.0% pdr=31.8% (3238s)
[XM-noMAML s55] step 69632/300000 success=50.0% pdr=29.5% (3438s)
[XM-noMAML s55] step 73728/300000 success=45.0% pdr=38.0% (3634s)
[XM-noMAML s55] step 77824/300000 success=45.0% pdr=37.3% (3838s)
[XM-noMAML s55] step 81920/300000 success=30.0% pdr=36.2% (4043s)
[XM-noMAML s55] step 86016/300000 success=50.0% pdr=39.7% (4239s)
[XM-noMAML s55] step 90112/300000 success=45.0% pdr=36.8% (4428s)
[XM-noMAML s55] step 94208/300000 success=35.0% pdr=42.2% (4629s)
[XM-noMAML s55] step 98304/300000 success=35.0% pdr=44.5% (4825s)
[XM-noMAML s55] step 102400/300000 success=40.0% pdr=48.3% (5028s)
[XM-noMAML s55] step 106496/300000 success=35.0% pdr=44.7% (5220s)
[XM-noMAML s55] step 110592/300000 success=35.0% pdr=44.7% (5408s)
[XM-noMAML s55] step 114688/300000 success=45.0% pdr=44.8% (5600s)
[XM-noMAML s55] step 118784/300000 success=40.0% pdr=46.3% (5794s)
[XM-noMAML s55] step 122880/300000 success=35.0% pdr=44.5% (5990s)
[XM-noMAML s55] step 126976/300000 success=40.0% pdr=48.4% (6180s)
[XM-noMAML s55] step 131072/300000 success=50.0% pdr=40.9% (6368s)
[XM-noMAML s55] step 135168/300000 success=55.0% pdr=36.3% (6551s)
[XM-noMAML s55] step 139264/300000 success=50.0% pdr=26.0% (6806s)
[XM-noMAML s55] step 143360/300000 success=30.0% pdr=45.3% (6983s)
[XM-noMAML s55] step 147456/300000 success=50.0% pdr=7.3% (7158s)
[XM-noMAML s55] step 151552/300000 success=45.0% pdr=24.1% (7342s)
[XM-noMAML s55] step 155648/300000 success=45.0% pdr=13.9% (7525s)
[XM-noMAML s55] step 159744/300000 success=55.0% pdr=30.9% (7705s)
[XM-noMAML s55] step 163840/300000 success=45.0% pdr=30.7% (7875s)
[XM-noMAML s55] step 167936/300000 success=50.0% pdr=34.8% (8044s)
[XM-noMAML s55] step 172032/300000 success=50.0% pdr=17.7% (8226s)
[XM-noMAML s55] step 176128/300000 success=50.0% pdr=29.7% (8405s)
[XM-noMAML s55] step 180224/300000 success=50.0% pdr=36.0% (8585s)
[XM-noMAML s55] step 184320/300000 success=45.0% pdr=39.0% (8754s)
[XM-noMAML s55] step 188416/300000 success=45.0% pdr=40.3% (8921s)
[XM-noMAML s55] step 192512/300000 success=40.0% pdr=44.6% (9092s)
[XM-noMAML s55] step 196608/300000 success=40.0% pdr=38.1% (9264s)
[XM-noMAML s55] step 200704/300000 success=45.0% pdr=29.9% (9432s)
[XM-noMAML s55] step 204800/300000 success=40.0% pdr=31.9% (9606s)
[XM-noMAML s55] step 208896/300000 success=35.0% pdr=35.1% (9777s)
[XM-noMAML s55] step 212992/300000 success=50.0% pdr=34.7% (9947s)
[XM-noMAML s55] step 217088/300000 success=55.0% pdr=37.9% (10116s)
[XM-noMAML s55] step 221184/300000 success=50.0% pdr=43.5% (10292s)
[XM-noMAML s55] step 225280/300000 success=30.0% pdr=43.3% (10472s)
[XM-noMAML s55] step 229376/300000 success=35.0% pdr=49.0% (10718s)
[XM-noMAML s55] step 233472/300000 success=40.0% pdr=48.7% (10893s)
[XM-noMAML s55] step 237568/300000 success=40.0% pdr=48.5% (11071s)
[XM-noMAML s55] step 241664/300000 success=40.0% pdr=45.0% (11252s)
[XM-noMAML s55] step 245760/300000 success=40.0% pdr=42.4% (11436s)
[XM-noMAML s55] step 249856/300000 success=45.0% pdr=42.3% (11669s)
[XM-noMAML s55] step 253952/300000 success=35.0% pdr=48.2% (11846s)
[XM-noMAML s55] step 258048/300000 success=35.0% pdr=46.3% (12028s)
[XM-noMAML s55] step 262144/300000 success=45.0% pdr=43.6% (12203s)
[XM-noMAML s55] step 266240/300000 success=40.0% pdr=39.3% (12356s)
[XM-noMAML s55] step 270336/300000 success=45.0% pdr=42.2% (12487s)
[XM-noMAML s55] step 274432/300000 success=45.0% pdr=42.9% (12609s)
[XM-noMAML s55] step 278528/300000 success=40.0% pdr=46.6% (12675s)
[XM-noMAML s55] step 282624/300000 success=40.0% pdr=39.5% (12747s)
[XM-noMAML s55] step 286720/300000 success=40.0% pdr=48.6% (12818s)
[XM-noMAML s55] step 290816/300000 success=50.0% pdr=45.7% (12884s)
[XM-noMAML s55] step 294912/300000 success=50.0% pdr=41.3% (13002s)
[XM-noMAML s55] step 299008/300000 success=45.0% pdr=48.2% (13095s)
FINAL XM-noMAML s55: success=37.5%  pdr=49.2%  antijam=98.2%  sinr=2.93dB  energy=1.180
