=== A2C seed=22 steps=300000 device=cpu ===
[A2C s22] step 4096/300000 success=45.0% pdr=31.0% (10s)
[A2C s22] step 8192/300000 success=50.0% pdr=32.3% (22s)
[A2C s22] step 12288/300000 success=45.0% pdr=27.6% (34s)
[A2C s22] step 16384/300000 success=45.0% pdr=23.8% (45s)
[A2C s22] step 20480/300000 success=40.0% pdr=25.2% (56s)
[A2C s22] step 24576/300000 success=45.0% pdr=35.9% (69s)
[A2C s22] step 28672/300000 success=45.0% pdr=24.8% (82s)
[A2C s22] step 32768/300000 success=40.0% pdr=21.1% (94s)
[A2C s22] step 36864/300000 success=35.0% pdr=23.0% (126s)
[A2C s22] step 40960/300000 success=45.0% pdr=24.6% (164s)
[A2C s22] step 45056/300000 success=55.0% pdr=21.7% (200s)
[A2C s22] step 49152/300000 success=50.0% pdr=28.6% (237s)
[A2C s22] step 53248/300000 success=50.0% pdr=37.1% (273s)
[A2C s22] step 57344/300000 success=50.0% pdr=44.7% (310s)
[A2C s22] step 61440/300000 success=50.0% pdr=46.5% (348s)
[A2C s22] step 65536/300000 success=45.0% pdr=46.5% (388s)
[A2C s22] step 69632/300000 success=45.0% pdr=50.2% (427s)
[A2C s22] step 73728/300000 success=45.0% pdr=51.8% (463s)
[A2C s22] step 77824/300000 success=45.0% pdr=50.4% (500s)
[A2C s22] step 81920/300000 success=45.0% pdr=49.8% (522s)
[A2C s22] step 86016/300000 success=45.0% pdr=52.1% (550s)
[A2C s22] step 90112/300000 success=40.0% pdr=52.5% (589s)
[A2C s22] step 94208/300000 success=45.0% pdr=53.1% (627s)
[A2C s22] step 98304/300000 success=40.0% pdr=52.8% (664s)
[A2C s22] step 102400/300000 success=35.0% pdr=53.6% (703s)
[A2C s22] step 106496/300000 success=30.0% pdr=52.1% (741s)
[A2C s22] step 110592/300000 success=30.0% pdr=52.0% (779s)
[A2C s22] step 114688/300000 success=35.0% pdr=52.7% (817s)
[A2C s22] step 118784/300000 success=35.0% pdr=50.5% (855s)
[A2C s22] step 122880/300000 success=35.0% pdr=48.8% (893s)
[A2C s22] step 126976/300000 success=45.0% pdr=53.5% (931s)
[A2C s22] step 131072/300000 success=45.0% pdr=54.9% (969s)
[A2C s22] step 135168/300000 success=45.0% pdr=54.7% (1006s)
[A2C s22] step 139264/300000 success=30.0% pdr=53.5% (1042s)
[A2C s22] step 143360/300000 success=30.0% pdr=52.3% (1079s)
[A2C s22] step 147456/300000 success=35.0% pdr=52.7% (1115s)
[A2C s22] step 151552/300000 success=45.0% pdr=52.0% (1151s)
[A2C s22] step 155648/300000 success=45.0% pdr=50.8% (1192s)
[A2C s22] step 159744/300000 success=50.0% pdr=50.6% (1229s)
[A2C s22] step 163840/300000 success=50.0% pdr=51.6% (1265s)
[A2C s22] step 167936/300000 success=45.0% pdr=50.9% (1302s)
[A2C s22] step 172032/300000 success=35.0% pdr=49.0% (1341s)
[A2C s22] step 176128/300000 success=40.0% pdr=49.7% (1379s)
[A2C s22] step 180224/300000 success=40.0% pdr=55.1% (1418s)
[A2C s22] step 184320/300000 success=45.0% pdr=54.7% (1457s)
[A2C s22] step 188416/300000 success=35.0% pdr=56.5% (1495s)
[A2C s22] step 192512/300000 success=35.0% pdr=54.9% (1534s)
[A2C s22] step 196608/300000 success=35.0% pdr=53.3% (1573s)
[A2C s22] step 200704/300000 success=40.0% pdr=49.5% (1611s)
[A2C s22] step 204800/300000 success=45.0% pdr=49.2% (1650s)
[A2C s22] step 208896/300000 success=40.0% pdr=49.0% (1689s)
[A2C s22] step 212992/300000 success=45.0% pdr=50.8% (1727s)
[A2C s22] step 217088/300000 success=40.0% pdr=51.1% (1765s)
[A2C s22] step 221184/300000 success=55.0% pdr=54.1% (1806s)
[A2C s22] step 225280/300000 success=55.0% pdr=55.1% (1844s)
[A2C s22] step 229376/300000 success=45.0% pdr=57.2% (1882s)
[A2C s22] step 233472/300000 success=45.0% pdr=53.7% (1920s)
[A2C s22] step 237568/300000 success=45.0% pdr=51.5% (1957s)
[A2C s22] step 241664/300000 success=40.0% pdr=55.1% (1993s)
[A2C s22] step 245760/300000 success=35.0% pdr=53.4% (2032s)
[A2C s22] step 249856/300000 success=35.0% pdr=51.9% (2069s)
[A2C s22] step 253952/300000 success=40.0% pdr=55.9% (2107s)
[A2C s22] step 258048/300000 success=45.0% pdr=55.2% (2120s)
[A2C s22] step 262144/300000 success=50.0% pdr=53.3% (2144s)
[A2C s22] step 266240/300000 success=55.0% pdr=50.3% (2183s)
[A2C s22] step 270336/300000 success=50.0% pdr=58.2% (2223s)
[A2C s22] step 274432/300000 success=50.0% pdr=54.3% (2262s)
[A2C s22] step 278528/300000 success=50.0% pdr=54.9% (2300s)
[A2C s22] step 282624/300000 success=50.0% pdr=54.0% (2338s)
[A2C s22] step 286720/300000 success=50.0% pdr=54.3% (2377s)
[A2C s22] step 290816/300000 success=45.0% pdr=54.3% (2415s)
[A2C s22] step 294912/300000 success=40.0% pdr=54.3% (2454s)
[A2C s22] step 299008/300000 success=35.0% pdr=51.7% (2492s)
FINAL A2C s22: success=34.2%  pdr=52.4%  antijam=98.2%  sinr=3.33dB  energy=1.001
