=== XM-noTrans seed=33 steps=300000 device=cpu ===
[XM-noTrans s33] step 4608/300000 success=40.0% pdr=4.6% (51s)
[XM-noTrans s33] step 9216/300000 success=45.0% pdr=4.6% (98s)
[XM-noTrans s33] step 13824/300000 success=45.0% pdr=4.5% (144s)
[XM-noTrans s33] step 18432/300000 success=30.0% pdr=4.6% (191s)
[XM-noTrans s33] step 20736/300000 success=35.0% pdr=4.6% (220s)
[XM-noTrans s33] step 25344/300000 success=40.0% pdr=4.6% (267s)
[XM-noTrans s33] step 29952/300000 success=45.0% pdr=7.1% (313s)
[XM-noTrans s33] step 34560/300000 success=45.0% pdr=4.6% (358s)
[XM-noTrans s33] step 36864/300000 success=35.0% pdr=5.2% (389s)
[XM-noTrans s33] step 41472/300000 success=35.0% pdr=14.3% (438s)
[XM-noTrans s33] step 46080/300000 success=45.0% pdr=4.6% (484s)
[XM-noTrans s33] step 50688/300000 success=40.0% pdr=4.6% (531s)
[XM-noTrans s33] step 55296/300000 success=35.0% pdr=4.6% (581s)
[XM-noTrans s33] step 57600/300000 success=35.0% pdr=4.6% (611s)
[XM-noTrans s33] step 62208/300000 success=35.0% pdr=4.6% (656s)
[XM-noTrans s33] step 66816/300000 success=45.0% pdr=4.5% (704s)
[XM-noTrans s33] step 71424/300000 success=55.0% pdr=4.5% (750s)
[XM-noTrans s33] step 73728/300000 success=55.0% pdr=4.5% (780s)
[XM-noTrans s33] step 78336/300000 success=50.0% pdr=4.5% (826s)
[XM-noTrans s33] step 82944/300000 success=50.0% pdr=4.6% (872s)
[XM-noTrans s33] step 87552/300000 success=50.0% pdr=14.4% (917s)
[XM-noTrans s33] step 92160/300000 success=50.0% pdr=4.5% (962s)
[XM-noTrans s33] step 94464/300000 success=50.0% pdr=4.5% (989s)
[XM-noTrans s33] step 99072/300000 success=40.0% pdr=4.6% (1032s)
[XM-noTrans s33] step 103680/300000 success=50.0% pdr=4.5% (1076s)
[XM-noTrans s33] step 108288/300000 success=50.0% pdr=4.5% (1119s)
[XM-noTrans s33] step 110592/300000 success=50.0% pdr=4.5% (1145s)
[XM-noTrans s33] step 115200/300000 success=45.0% pdr=23.2% (1190s)
[XM-noTrans s33] step 119808/300000 success=40.0% pdr=5.4% (1235s)
[XM-noTrans s33] step 124416/300000 success=30.0% pdr=12.1% (1282s)
[XM-noTrans s33] step 129024/300000 success=35.0% pdr=4.6% (1329s)
[XM-noTrans s33] step 131328/300000 success=35.0% pdr=5.2% (1358s)
[XM-noTrans s33] step 135936/300000 success=35.0% pdr=4.6% (1405s)
[XM-noTrans s33] step 140544/300000 success=35.0% pdr=4.6% (1451s)
[XM-noTrans s33] step 145152/300000 success=35.0% pdr=4.5% (1496s)
[XM-noTrans s33] step 147456/300000 success=35.0% pdr=4.6% (1525s)
[XM-noTrans s33] step 152064/300000 success=40.0% pdr=12.5% (1572s)
[XM-noTrans s33] step 156672/300000 success=40.0% pdr=4.8% (1619s)
[XM-noTrans s33] step 161280/300000 success=35.0% pdr=4.6% (1665s)
[XM-noTrans s33] step 165888/300000 success=40.0% pdr=4.8% (1710s)
[XM-noTrans s33] step 168192/300000 success=40.0% pdr=4.6% (1738s)
[XM-noTrans s33] step 172800/300000 success=40.0% pdr=22.1% (1784s)
[XM-noTrans s33] step 177408/300000 success=45.0% pdr=4.6% (1829s)
[XM-noTrans s33] step 182016/300000 success=45.0% pdr=4.6% (1876s)
[XM-noTrans s33] step 184320/300000 success=45.0% pdr=4.6% (1903s)
[XM-noTrans s33] step 188928/300000 success=45.0% pdr=4.6% (1945s)
[XM-noTrans s33] step 193536/300000 success=45.0% pdr=5.9% (1988s)
[XM-noTrans s33] step 198144/300000 success=40.0% pdr=4.5% (2031s)
[XM-noTrans s33] step 202752/300000 success=45.0% pdr=4.9% (2073s)
[XM-noTrans s33] step 205056/300000 success=45.0% pdr=8.0% (2100s)
[XM-noTrans s33] step 209664/300000 success=45.0% pdr=4.7% (2145s)
[XM-noTrans s33] step 214272/300000 success=45.0% pdr=20.3% (2191s)
[XM-noTrans s33] step 218880/300000 success=55.0% pdr=9.3% (2235s)
[XM-noTrans s33] step 221184/300000 success=55.0% pdr=5.7% (2262s)
[XM-noTrans s33] step 225792/300000 success=50.0% pdr=4.5% (2305s)
[XM-noTrans s33] step 230400/300000 success=45.0% pdr=4.6% (2352s)
[XM-noTrans s33] step 235008/300000 success=50.0% pdr=20.9% (2398s)
[XM-noTrans s33] step 239616/300000 success=50.0% pdr=14.9% (2441s)
[XM-noTrans s33] step 241920/300000 success=50.0% pdr=4.5% (2468s)
[XM-noTrans s33] step 246528/300000 success=50.0% pdr=4.5% (2512s)
[XM-noTrans s33] step 251136/300000 success=50.0% pdr=4.5% (2554s)
[XM-noTrans s33] step 255744/300000 success=55.0% pdr=4.5% (2598s)
[XM-noTrans s33] step 258048/300000 success=50.0% pdr=9.2% (2624s)
[XM-noTrans s33] step 262656/300000 success=50.0% pdr=4.6% (2669s)
[XM-noTrans s33] step 267264/300000 success=45.0% pdr=19.6% (2714s)
[XM-noTrans s33] step 271872/300000 success=35.0% pdr=6.4% (2759s)
[XM-noTrans s33] step 276480/300000 success=35.0% pdr=13.6% (2803s)
[XM-noTrans s33] step 278784/300000 success=45.0% pdr=5.0% (2830s)
[XM-noTrans s33] step 283392/300000 success=35.0% pdr=4.5% (2873s)
[XM-noTrans s33] step 288000/300000 success=35.0% pdr=5.3% (2917s)
[XM-noTrans s33] step 292608/300000 success=35.0% pdr=4.9% (2960s)
[XM-noTrans s33] step 294912/300000 success=40.0% pdr=13.7% (2987s)
[XM-noTrans s33] step 299520/300000 success=45.0% pdr=13.6% (3030s)
FINAL XM-noTrans s33: success=32.5%  pdr=4.7%  antijam=66.5%  sinr=-2.27dB  energy=0.714
