=== XM-noMAML seed=44 steps=300000 device=cpu ===
[XM-noMAML s44] step 4096/300000 success=55.0% pdr=17.5% (207s)
[XM-noMAML s44] step 8192/300000 success=45.0% pdr=19.2% (412s)
[XM-noMAML s44] step 12288/300000 success=50.0% pdr=7.2% (612s)
[XM-noMAML s44] step 16384/300000 success=55.0% pdr=21.2% (816s)
[XM-noMAML s44] step 20480/300000 success=45.0% pdr=16.1% (1023s)
[XM-noMAML s44] step 24576/300000 success=50.0% pdr=20.4% (1222s)
[XM-noMAML s44] step 28672/300000 success=40.0% pdr=36.3% (1418s)
[XM-noMAML s44] step 32768/300000 success=40.0% pdr=15.1% (1605s)
[XM-noMAML s44] step 36864/300000 success=35.0% pdr=16.3% (1795s)
[XM-noMAML s44] step 40960/300000 success=35.0% pdr=21.7% (1999s)
[XM-noMAML s44] step 45056/300000 success=45.0% pdr=23.6% (2200s)
[XM-noMAML s44] step 49152/300000 success=40.0% pdr=27.7% (2402s)
[XM-noMAML s44] step 53248/300000 success=35.0% pdr=29.7% (2601s)
[XM-noMAML s44] step 57344/300000 success=35.0% pdr=23.2% (2804s)
[XM-noMAML s44] step 61440/300000 success=35.0% pdr=20.0% (3006s)
[XM-noMAML s44] step 65536/300000 success=45.0% pdr=30.8% (3201s)
[XM-noMAML s44] step 69632/300000 success=45.0% pdr=31.7% (3396s)
[XM-noMAML s44] step 73728/300000 success=40.0% pdr=33.2% (3653s)
[XM-noMAML s44] step 77824/300000 success=35.0% pdr=31.3% (3855s)
[XM-noMAML s44] step 81920/300000 success=35.0% pdr=38.2% (4054s)
[XM-noMAML s44] step 86016/300000 success=35.0% pdr=32.9% (4250s)
[XM-noMAML s44] step 90112/300000 success=40.0% pdr=36.1% (4451s)
[XM-noMAML s44] step 94208/300000 success=45.0% pdr=34.0% (4656s)
[XM-noMAML s44] step 98304/300000 success=35.0% pdr=38.2% (4854s)
[XM-noMAML s44] step 102400/300000 success=40.0% pdr=36.4% (5050s)
[XM-noMAML s44] step 106496/300000 success=40.0% pdr=40.9% (5246s)
[XM-noMAML s44] step 110592/300000 success=55.0% pdr=34.2% (5444s)
[XM-noMAML s44] step 114688/300000 success=45.0% pdr=45.3% (5647s)
[XM-noMAML s44] step 118784/300000 success=30.0% pdr=40.9% (5841s)
[XM-noMAML s44] step 122880/300000 success=55.0% pdr=36.7% (6033s)
[XM-noMAML s44] step 126976/300000 success=50.0% pdr=43.1% (6221s)
[XM-noMAML s44] step 131072/300000 success=55.0% pdr=31.5% (6416s)
[XM-noMAML s44] step 135168/300000 success=40.0% pdr=23.3% (6612s)
[XM-noMAML s44] step 139264/300000 success=45.0% pdr=36.6% (6804s)
[XM-noMAML s44] step 143360/300000 success=40.0% pdr=35.7% (6996s)
[XM-noMAML s44] step 147456/300000 success=50.0% pdr=39.5% (7181s)
[XM-noMAML s44] step 151552/300000 success=40.0% pdr=38.1% (7427s)
[XM-noMAML s44] step 155648/300000 success=40.0% pdr=39.2% (7615s)
[XM-noMAML s44] step 159744/300000 success=45.0% pdr=44.4% (7787s)
[XM-noMAML s44] step 163840/300000 success=40.0% pdr=44.0% (7969s)
[XM-noMAML s44] step 167936/300000 success=35.0% pdr=40.7% (8148s)
[XM-noMAML s44] step 172032/300000 success=45.0% pdr=34.8% (8330s)
[XM-noMAML s44] step 176128/300000 success=35.0% pdr=38.5% (8504s)
[XM-noMAML s44] step 180224/300000 success=50.0% pdr=41.4% (8675s)
[XM-noMAML s44] step 184320/300000 success=50.0% pdr=42.8% (8853s)
[XM-noMAML s44] step 188416/300000 success=50.0% pdr=37.6% (9033s)
[XM-noMAML s44] step 192512/300000 success=50.0% pdr=44.9% (9211s)
[XM-noMAML s44] step 196608/300000 success=35.0% pdr=43.2% (9385s)
[XM-noMAML s44] step 200704/300000 success=45.0% pdr=41.2% (9552s)
[XM-noMAML s44] step 204800/300000 success=40.0% pdr=40.4% (9726s)
[XM-noMAML s44] step 208896/300000 success=45.0% pdr=44.2% (9898s)
[XM-noMAML s44] step 212992/300000 success=40.0% pdr=43.4% (10069s)
[XM-noMAML s44] step 217088/300000 success=35.0% pdr=42.3% (10240s)
[XM-noMAML s44] step 221184/300000 success=45.0% pdr=44.7% (10411s)
[XM-noMAML s44] step 225280/300000 success=45.0% pdr=42.9% (10582s)
[XM-noMAML s44] step 229376/300000 success=35.0% pdr=43.5% (10750s)
[XM-noMAML s44] step 233472/300000 success=40.0% pdr=40.1% (10922s)
[XM-noMAML s44] step 237568/300000 success=45.0% pdr=28.1% (11099s)
[XM-noMAML s44] step 241664/300000 success=50.0% pdr=31.2% (11350s)
[XM-noMAML s44] step 245760/300000 success=45.0% pdr=39.1% (11522s)
[XM-noMAML s44] step 249856/300000 success=45.0% pdr=38.1% (11700s)
[XM-noMAML s44] step 253952/300000 success=45.0% pdr=42.5% (11880s)
[XM-noMAML s44] step 258048/300000 success=50.0% pdr=29.7% (12059s)
[XM-noMAML s44] step 262144/300000 success=50.0% pdr=14.8% (12279s)
[XM-noMAML s44] step 266240/300000 success=55.0% pdr=13.0% (12474s)
[XM-noMAML s44] step 270336/300000 success=50.0% pdr=17.6% (12652s)
[XM-noMAML s44] step 274432/300000 success=35.0% pdr=27.6% (12833s)
[XM-noMAML s44] step 278528/300000 success=45.0% pdr=36.2% (12994s)
[XM-noMAML s44] step 282624/300000 success=50.0% pdr=4.5% (13128s)
[XM-noMAML s44] step 286720/300000 success=40.0% pdr=7.4% (13263s)
[XM-noMAML s44] step 290816/300000 success=40.0% pdr=12.8% (13344s)
[XM-noMAML s44] step 294912/300000 success=45.0% pdr=17.0% (13414s)
[XM-noMAML s44] step 299008/300000 success=35.0% pdr=28.3% (13486s)
FINAL XM-noMAML s44: success=33.3%  pdr=26.1%  antijam=86.0%  sinr=0.58dB  energy=0.871
