=== A2C seed=11 steps=300000 device=cpu ===
[A2C s11] step 4096/300000 success=35.0% pdr=19.6% (8s)
[A2C s11] step 8192/300000 success=45.0% pdr=23.7% (20s)
[A2C s11] step 12288/300000 success=45.0% pdr=36.0% (32s)
[A2C s11] step 16384/300000 success=45.0% pdr=39.8% (44s)
[A2C s11] step 20480/300000 success=45.0% pdr=40.4% (55s)
[A2C s11] step 24576/300000 success=45.0% pdr=40.0% (67s)
[A2C s11] step 28672/300000 success=45.0% pdr=35.9% (79s)
[A2C s11] step 32768/300000 success=45.0% pdr=30.0% (91s)
[A2C s11] step 36864/300000 success=45.0% pdr=29.8% (118s)
[A2C s11] step 40960/300000 success=35.0% pdr=48.3% (155s)
[A2C s11] step 45056/300000 success=35.0% pdr=53.0% (192s)
[A2C s11] step 49152/300000 success=40.0% pdr=50.7% (229s)
[A2C s11] step 53248/300000 success=40.0% pdr=46.4% (265s)
[A2C s11] step 57344/300000 success=50.0% pdr=43.6% (302s)
[A2C s11] step 61440/300000 success=50.0% pdr=44.7% (339s)
[A2C s11] step 65536/300000 success=50.0% pdr=44.7% (379s)
[A2C s11] step 69632/300000 success=40.0% pdr=41.7% (419s)
[A2C s11] step 73728/300000 success=40.0% pdr=38.5% (455s)
[A2C s11] step 77824/300000 success=40.0% pdr=40.9% (492s)
[A2C s11] step 81920/300000 success=45.0% pdr=45.8% (519s)
[A2C s11] step 86016/300000 success=45.0% pdr=44.0% (528s)
[A2C s11] step 90112/300000 success=35.0% pdr=46.7% (568s)
[A2C s11] step 94208/300000 success=40.0% pdr=49.0% (606s)
[A2C s11] step 98304/300000 success=40.0% pdr=45.5% (643s)
[A2C s11] step 102400/300000 success=40.0% pdr=47.1% (681s)
[A2C s11] step 106496/300000 success=35.0% pdr=46.8% (720s)
[A2C s11] step 110592/300000 success=40.0% pdr=45.6% (757s)
[A2C s11] step 114688/300000 success=45.0% pdr=44.4% (797s)
[A2C s11] step 118784/300000 success=30.0% pdr=46.9% (834s)
[A2C s11] step 122880/300000 success=45.0% pdr=49.9% (873s)
[A2C s11] step 126976/300000 success=45.0% pdr=51.0% (910s)
[A2C s11] step 131072/300000 success=45.0% pdr=49.6% (949s)
[A2C s11] step 135168/300000 success=50.0% pdr=50.5% (986s)
[A2C s11] step 139264/300000 success=50.0% pdr=45.4% (1023s)
[A2C s11] step 143360/300000 success=50.0% pdr=48.8% (1059s)
[A2C s11] step 147456/300000 success=50.0% pdr=53.5% (1095s)
[A2C s11] step 151552/300000 success=50.0% pdr=53.0% (1132s)
[A2C s11] step 155648/300000 success=50.0% pdr=50.0% (1171s)
[A2C s11] step 159744/300000 success=50.0% pdr=48.6% (1210s)
[A2C s11] step 163840/300000 success=50.0% pdr=50.7% (1246s)
[A2C s11] step 167936/300000 success=45.0% pdr=51.4% (1282s)
[A2C s11] step 172032/300000 success=35.0% pdr=52.8% (1320s)
[A2C s11] step 176128/300000 success=35.0% pdr=51.8% (1360s)
[A2C s11] step 180224/300000 success=35.0% pdr=51.3% (1398s)
[A2C s11] step 184320/300000 success=40.0% pdr=49.8% (1437s)
[A2C s11] step 188416/300000 success=35.0% pdr=50.8% (1476s)
[A2C s11] step 192512/300000 success=35.0% pdr=51.7% (1515s)
[A2C s11] step 196608/300000 success=45.0% pdr=53.5% (1554s)
[A2C s11] step 200704/300000 success=45.0% pdr=51.6% (1592s)
[A2C s11] step 204800/300000 success=45.0% pdr=51.6% (1631s)
[A2C s11] step 208896/300000 success=50.0% pdr=52.2% (1669s)
[A2C s11] step 212992/300000 success=50.0% pdr=51.7% (1708s)
[A2C s11] step 217088/300000 success=45.0% pdr=52.8% (1746s)
[A2C s11] step 221184/300000 success=45.0% pdr=53.7% (1786s)
[A2C s11] step 225280/300000 success=40.0% pdr=51.8% (1825s)
[A2C s11] step 229376/300000 success=35.0% pdr=52.8% (1863s)
[A2C s11] step 233472/300000 success=50.0% pdr=51.9% (1903s)
[A2C s11] step 237568/300000 success=50.0% pdr=51.1% (1940s)
[A2C s11] step 241664/300000 success=55.0% pdr=50.8% (1976s)
[A2C s11] step 245760/300000 success=50.0% pdr=53.6% (2014s)
[A2C s11] step 249856/300000 success=45.0% pdr=55.7% (2053s)
[A2C s11] step 253952/300000 success=35.0% pdr=56.9% (2090s)
[A2C s11] step 258048/300000 success=40.0% pdr=57.3% (2118s)
[A2C s11] step 262144/300000 success=45.0% pdr=56.9% (2137s)
[A2C s11] step 266240/300000 success=45.0% pdr=56.8% (2177s)
[A2C s11] step 270336/300000 success=45.0% pdr=53.9% (2218s)
[A2C s11] step 274432/300000 success=45.0% pdr=55.4% (2256s)
[A2C s11] step 278528/300000 success=45.0% pdr=53.7% (2295s)
[A2C s11] step 282624/300000 success=45.0% pdr=53.9% (2333s)
[A2C s11] step 286720/300000 success=45.0% pdr=54.5% (2372s)
[A2C s11] step 290816/300000 success=45.0% pdr=55.3% (2410s)
[A2C s11] step 294912/300000 success=40.0% pdr=54.2% (2449s)
[A2C s11] step 299008/300000 success=40.0% pdr=53.7% (2488s)
FINAL A2C s11: success=39.2%  pdr=54.1%  antijam=98.1%  sinr=3.50dB  energy=1.270
