=== XM-MADRL seed=11 steps=300000 device=cpu ===
[XM-MADRL s11] step 4608/300000 success=50.0% pdr=30.1% (27s)
[XM-MADRL s11] step 9216/300000 success=45.0% pdr=31.1% (53s)
[XM-MADRL s11] step 13824/300000 success=50.0% pdr=31.8% (80s)
[XM-MADRL s11] step 18432/300000 success=55.0% pdr=33.8% (109s)
[XM-MADRL s11] step 20736/300000 success=55.0% pdr=33.9% (126s)
[XM-MADRL s11] step 25344/300000 success=50.0% pdr=34.2% (159s)
[XM-MADRL s11] step 29952/300000 success=60.0% pdr=34.4% (191s)
[XM-MADRL s11] step 34560/300000 success=50.0% pdr=32.7% (227s)
[XM-MADRL s11] step 36864/300000 success=45.0% pdr=33.9% (245s)
[XM-MADRL s11] step 41472/300000 success=45.0% pdr=35.6% (281s)
[XM-MADRL s11] step 46080/300000 success=45.0% pdr=37.5% (311s)
[XM-MADRL s11] step 50688/300000 success=40.0% pdr=38.2% (343s)
[XM-MADRL s11] step 55296/300000 success=35.0% pdr=40.4% (373s)
[XM-MADRL s11] step 57600/300000 success=35.0% pdr=43.0% (391s)
[XM-MADRL s11] step 62208/300000 success=45.0% pdr=37.2% (424s)
[XM-MADRL s11] step 66816/300000 success=45.0% pdr=36.4% (452s)
[XM-MADRL s11] step 71424/300000 success=45.0% pdr=33.6% (482s)
[XM-MADRL s11] step 73728/300000 success=45.0% pdr=32.7% (498s)
[XM-MADRL s11] step 78336/300000 success=40.0% pdr=33.2% (528s)
[XM-MADRL s11] step 82944/300000 success=35.0% pdr=33.7% (556s)
[XM-MADRL s11] step 87552/300000 success=35.0% pdr=33.0% (591s)
[XM-MADRL s11] step 92160/300000 success=40.0% pdr=32.4% (643s)
[XM-MADRL s11] step 94464/300000 success=40.0% pdr=32.8% (672s)
[XM-MADRL s11] step 99072/300000 success=40.0% pdr=32.2% (725s)
[XM-MADRL s11] step 103680/300000 success=50.0% pdr=31.2% (810s)
[XM-MADRL s11] step 108288/300000 success=45.0% pdr=31.3% (903s)
[XM-MADRL s11] step 110592/300000 success=50.0% pdr=31.3% (936s)
[XM-MADRL s11] step 115200/300000 success=40.0% pdr=40.4% (988s)
[XM-MADRL s11] step 119808/300000 success=35.0% pdr=44.9% (1041s)
[XM-MADRL s11] step 124416/300000 success=35.0% pdr=44.8% (1124s)
