=== XM-noMAML seed=11 steps=300000 device=cpu ===
[XM-noMAML s11] step 4096/300000 success=50.0% pdr=28.3% (237s)
[XM-noMAML s11] step 8192/300000 success=45.0% pdr=38.3% (484s)
[XM-noMAML s11] step 12288/300000 success=45.0% pdr=48.2% (730s)
[XM-noMAML s11] step 16384/300000 success=45.0% pdr=39.0% (861s)
[XM-noMAML s11] step 20480/300000 success=45.0% pdr=41.2% (974s)
[XM-noMAML s11] step 24576/300000 success=35.0% pdr=40.7% (1219s)
[XM-noMAML s11] step 28672/300000 success=40.0% pdr=38.9% (1463s)
[XM-noMAML s11] step 32768/300000 success=35.0% pdr=36.4% (1682s)
[XM-noMAML s11] step 36864/300000 success=60.0% pdr=44.6% (1921s)
[XM-noMAML s11] step 40960/300000 success=45.0% pdr=41.7% (2171s)
[XM-noMAML s11] step 45056/300000 success=45.0% pdr=42.9% (2430s)
[XM-noMAML s11] step 49152/300000 success=50.0% pdr=39.7% (2687s)
[XM-noMAML s11] step 53248/300000 success=45.0% pdr=42.8% (2935s)
[XM-noMAML s11] step 57344/300000 success=40.0% pdr=49.0% (3191s)
[XM-noMAML s11] step 61440/300000 success=45.0% pdr=45.4% (3438s)
[XM-noMAML s11] step 65536/300000 success=55.0% pdr=50.8% (3673s)
[XM-noMAML s11] step 69632/300000 success=35.0% pdr=57.3% (3888s)
[XM-noMAML s11] step 73728/300000 success=40.0% pdr=59.1% (4144s)
[XM-noMAML s11] step 77824/300000 success=45.0% pdr=56.6% (4358s)
[XM-noMAML s11] step 81920/300000 success=35.0% pdr=55.9% (4505s)
[XM-noMAML s11] step 86016/300000 success=35.0% pdr=55.5% (4715s)
[XM-noMAML s11] step 90112/300000 success=35.0% pdr=49.9% (4898s)
[XM-noMAML s11] step 94208/300000 success=45.0% pdr=52.4% (5012s)
[XM-noMAML s11] step 98304/300000 success=50.0% pdr=54.0% (5142s)
[XM-noMAML s11] step 102400/300000 success=40.0% pdr=59.6% (5292s)
[XM-noMAML s11] step 106496/300000 success=50.0% pdr=57.3% (5501s)
