=== XM-noTrans seed=44 steps=300000 device=cpu ===
[XM-noTrans s44] step 4608/300000 success=50.0% pdr=27.6% (86s)
[XM-noTrans s44] step 9216/300000 success=50.0% pdr=26.4% (139s)
[XM-noTrans s44] step 13824/300000 success=50.0% pdr=27.8% (190s)
[XM-noTrans s44] step 18432/300000 success=45.0% pdr=29.1% (256s)
[XM-noTrans s44] step 20736/300000 success=30.0% pdr=27.9% (326s)
[XM-noTrans s44] step 25344/300000 success=40.0% pdr=24.7% (385s)
[XM-noTrans s44] step 29952/300000 success=55.0% pdr=28.3% (437s)
[XM-noTrans s44] step 34560/300000 success=55.0% pdr=31.2% (489s)
[XM-noTrans s44] step 36864/300000 success=55.0% pdr=32.6% (527s)
[XM-noTrans s44] step 41472/300000 success=50.0% pdr=34.4% (621s)
[XM-noTrans s44] step 46080/300000 success=45.0% pdr=34.5% (675s)
[XM-noTrans s44] step 50688/300000 success=45.0% pdr=34.3% (727s)
[XM-noTrans s44] step 55296/300000 success=45.0% pdr=35.0% (781s)
[XM-noTrans s44] step 57600/300000 success=45.0% pdr=35.7% (798s)
[XM-noTrans s44] step 62208/300000 success=45.0% pdr=35.8% (837s)
[XM-noTrans s44] step 66816/300000 success=55.0% pdr=34.5% (857s)
[XM-noTrans s44] step 71424/300000 success=35.0% pdr=33.2% (885s)
[XM-noTrans s44] step 73728/300000 success=35.0% pdr=33.0% (909s)
[XM-noTrans s44] step 78336/300000 success=35.0% pdr=33.0% (946s)
[XM-noTrans s44] step 82944/300000 success=45.0% pdr=32.2% (969s)
[XM-noTrans s44] step 87552/300000 success=45.0% pdr=29.7% (1020s)
[XM-noTrans s44] step 92160/300000 success=35.0% pdr=28.7% (1072s)
[XM-noTrans s44] step 94464/300000 success=35.0% pdr=28.5% (1103s)
[XM-noTrans s44] step 99072/300000 success=40.0% pdr=28.0% (1190s)
[XM-noTrans s44] step 103680/300000 success=40.0% pdr=26.7% (1256s)
[XM-noTrans s44] step 108288/300000 success=30.0% pdr=26.5% (1306s)
[XM-noTrans s44] step 110592/300000 success=40.0% pdr=26.7% (1336s)
[XM-noTrans s44] step 115200/300000 success=35.0% pdr=27.3% (1400s)
[XM-noTrans s44] step 119808/300000 success=35.0% pdr=28.2% (1497s)
[XM-noTrans s44] step 124416/300000 success=40.0% pdr=38.8% (1550s)
[XM-noTrans s44] step 129024/300000 success=40.0% pdr=42.3% (1598s)
[XM-noTrans s44] step 131328/300000 success=40.0% pdr=42.5% (1628s)
[XM-noTrans s44] step 135936/300000 success=40.0% pdr=42.5% (1697s)
[XM-noTrans s44] step 140544/300000 success=45.0% pdr=42.9% (1783s)
[XM-noTrans s44] step 145152/300000 success=45.0% pdr=42.7% (1837s)
[XM-noTrans s44] step 147456/300000 success=45.0% pdr=43.0% (1869s)
[XM-noTrans s44] step 152064/300000 success=45.0% pdr=44.4% (1921s)
[XM-noTrans s44] step 156672/300000 success=40.0% pdr=46.9% (2012s)
[XM-noTrans s44] step 161280/300000 success=45.0% pdr=48.2% (2078s)
[XM-noTrans s44] step 165888/300000 success=45.0% pdr=47.1% (2131s)
[XM-noTrans s44] step 168192/300000 success=40.0% pdr=47.6% (2163s)
[XM-noTrans s44] step 172800/300000 success=30.0% pdr=47.1% (2241s)
[XM-noTrans s44] step 177408/300000 success=55.0% pdr=44.6% (2329s)
[XM-noTrans s44] step 182016/300000 success=60.0% pdr=42.5% (2383s)
[XM-noTrans s44] step 184320/300000 success=60.0% pdr=41.6% (2415s)
[XM-noTrans s44] step 188928/300000 success=55.0% pdr=42.0% (2468s)
[XM-noTrans s44] step 193536/300000 success=55.0% pdr=43.2% (2557s)
[XM-noTrans s44] step 198144/300000 success=55.0% pdr=44.0% (2630s)
[XM-noTrans s44] step 202752/300000 success=55.0% pdr=45.0% (2682s)
[XM-noTrans s44] step 205056/300000 success=55.0% pdr=45.9% (2711s)
[XM-noTrans s44] step 209664/300000 success=60.0% pdr=46.2% (2767s)
[XM-noTrans s44] step 214272/300000 success=55.0% pdr=46.7% (2859s)
[XM-noTrans s44] step 218880/300000 success=55.0% pdr=47.1% (2919s)
[XM-noTrans s44] step 221184/300000 success=60.0% pdr=47.4% (2950s)
[XM-noTrans s44] step 225792/300000 success=55.0% pdr=47.5% (3004s)
[XM-noTrans s44] step 230400/300000 success=50.0% pdr=48.1% (3067s)
[XM-noTrans s44] step 235008/300000 success=50.0% pdr=48.7% (3161s)
[XM-noTrans s44] step 239616/300000 success=50.0% pdr=48.9% (3218s)
[XM-noTrans s44] step 241920/300000 success=50.0% pdr=48.8% (3249s)
[XM-noTrans s44] step 246528/300000 success=50.0% pdr=48.8% (3302s)
[XM-noTrans s44] step 251136/300000 success=50.0% pdr=48.3% (3365s)
[XM-noTrans s44] step 255744/300000 success=50.0% pdr=48.3% (3454s)
[XM-noTrans s44] step 258048/300000 success=50.0% pdr=48.4% (3485s)
[XM-noTrans s44] step 262656/300000 success=40.0% pdr=48.0% (3536s)
[XM-noTrans s44] step 267264/300000 success=35.0% pdr=48.2% (3589s)
[XM-noTrans s44] step 271872/300000 success=45.0% pdr=48.6% (3671s)
[XM-noTrans s44] step 276480/300000 success=45.0% pdr=48.2% (3743s)
[XM-noTrans s44] step 278784/300000 success=50.0% pdr=48.1% (3773s)
[XM-noTrans s44] step 283392/300000 success=50.0% pdr=47.7% (3822s)
[XM-noTrans s44] step 288000/300000 success=50.0% pdr=47.5% (3877s)
[XM-noTrans s44] step 292608/300000 success=50.0% pdr=45.8% (3950s)
[XM-noTrans s44] step 294912/300000 success=50.0% pdr=44.8% (4014s)
[XM-noTrans s44] step 299520/300000 success=50.0% pdr=43.7% (4079s)
FINAL XM-noTrans s44: success=35.0%  pdr=43.1%  antijam=95.2%  sinr=2.44dB  energy=0.931
