=== PPO seed=33 steps=300000 device=cpu ===
[PPO s33] step 4096/300000 success=45.0% pdr=31.0% (10s)
[PPO s33] step 8192/300000 success=35.0% pdr=19.6% (24s)
[PPO s33] step 12288/300000 success=50.0% pdr=40.0% (37s)
[PPO s33] step 16384/300000 success=45.0% pdr=39.9% (49s)
[PPO s33] step 20480/300000 success=40.0% pdr=32.9% (61s)
[PPO s33] step 24576/300000 success=45.0% pdr=50.4% (75s)
[PPO s33] step 28672/300000 success=35.0% pdr=41.1% (88s)
[PPO s33] step 32768/300000 success=50.0% pdr=43.7% (110s)
[PPO s33] step 36864/300000 success=50.0% pdr=50.5% (151s)
[PPO s33] step 40960/300000 success=50.0% pdr=54.6% (191s)
[PPO s33] step 45056/300000 success=45.0% pdr=48.2% (231s)
[PPO s33] step 49152/300000 success=45.0% pdr=53.8% (270s)
[PPO s33] step 53248/300000 success=50.0% pdr=53.7% (311s)
[PPO s33] step 57344/300000 success=40.0% pdr=57.0% (353s)
[PPO s33] step 61440/300000 success=50.0% pdr=56.7% (397s)
[PPO s33] step 65536/300000 success=35.0% pdr=51.9% (438s)
[PPO s33] step 69632/300000 success=50.0% pdr=54.4% (477s)
[PPO s33] step 73728/300000 success=40.0% pdr=54.2% (516s)
[PPO s33] step 77824/300000 success=45.0% pdr=55.2% (527s)
[PPO s33] step 81920/300000 success=40.0% pdr=57.9% (570s)
[PPO s33] step 86016/300000 success=40.0% pdr=56.1% (612s)
[PPO s33] step 90112/300000 success=50.0% pdr=57.9% (653s)
[PPO s33] step 94208/300000 success=45.0% pdr=58.3% (694s)
[PPO s33] step 98304/300000 success=45.0% pdr=57.5% (736s)
[PPO s33] step 102400/300000 success=40.0% pdr=57.0% (778s)
[PPO s33] step 106496/300000 success=50.0% pdr=55.4% (819s)
[PPO s33] step 110592/300000 success=45.0% pdr=57.8% (860s)
[PPO s33] step 114688/300000 success=45.0% pdr=56.2% (902s)
[PPO s33] step 118784/300000 success=55.0% pdr=58.4% (944s)
[PPO s33] step 122880/300000 success=40.0% pdr=60.1% (986s)
[PPO s33] step 126976/300000 success=50.0% pdr=57.4% (1026s)
[PPO s33] step 131072/300000 success=35.0% pdr=58.0% (1065s)
[PPO s33] step 135168/300000 success=45.0% pdr=58.5% (1105s)
[PPO s33] step 139264/300000 success=40.0% pdr=57.1% (1145s)
[PPO s33] step 143360/300000 success=35.0% pdr=56.3% (1189s)
[PPO s33] step 147456/300000 success=45.0% pdr=58.9% (1229s)
[PPO s33] step 151552/300000 success=50.0% pdr=56.3% (1269s)
[PPO s33] step 155648/300000 success=45.0% pdr=60.2% (1308s)
[PPO s33] step 159744/300000 success=45.0% pdr=58.1% (1353s)
[PPO s33] step 163840/300000 success=45.0% pdr=55.5% (1394s)
[PPO s33] step 167936/300000 success=45.0% pdr=58.3% (1436s)
[PPO s33] step 172032/300000 success=40.0% pdr=56.1% (1479s)
[PPO s33] step 176128/300000 success=35.0% pdr=57.4% (1521s)
[PPO s33] step 180224/300000 success=40.0% pdr=59.2% (1563s)
[PPO s33] step 184320/300000 success=45.0% pdr=58.9% (1606s)
[PPO s33] step 188416/300000 success=55.0% pdr=56.4% (1648s)
[PPO s33] step 192512/300000 success=45.0% pdr=57.9% (1690s)
[PPO s33] step 196608/300000 success=45.0% pdr=57.0% (1731s)
[PPO s33] step 200704/300000 success=45.0% pdr=58.5% (1774s)
[PPO s33] step 204800/300000 success=55.0% pdr=56.8% (1817s)
[PPO s33] step 208896/300000 success=40.0% pdr=57.1% (1859s)
[PPO s33] step 212992/300000 success=40.0% pdr=58.8% (1902s)
[PPO s33] step 217088/300000 success=50.0% pdr=59.9% (1943s)
[PPO s33] step 221184/300000 success=35.0% pdr=58.4% (1982s)
[PPO s33] step 225280/300000 success=35.0% pdr=59.0% (2024s)
[PPO s33] step 229376/300000 success=45.0% pdr=57.5% (2065s)
[PPO s33] step 233472/300000 success=40.0% pdr=60.1% (2106s)
[PPO s33] step 237568/300000 success=50.0% pdr=58.5% (2123s)
[PPO s33] step 241664/300000 success=45.0% pdr=59.8% (2160s)
[PPO s33] step 245760/300000 success=45.0% pdr=58.7% (2204s)
[PPO s33] step 249856/300000 success=35.0% pdr=57.2% (2247s)
[PPO s33] step 253952/300000 success=50.0% pdr=55.2% (2289s)
[PPO s33] step 258048/300000 success=50.0% pdr=54.9% (2330s)
[PPO s33] step 262144/300000 success=50.0% pdr=56.5% (2373s)
[PPO s33] step 266240/300000 success=45.0% pdr=58.3% (2415s)
[PPO s33] step 270336/300000 success=45.0% pdr=57.7% (2458s)
[PPO s33] step 274432/300000 success=50.0% pdr=58.6% (2499s)
[PPO s33] step 278528/300000 success=50.0% pdr=59.4% (2541s)
[PPO s33] step 282624/300000 success=45.0% pdr=56.5% (2583s)
[PPO s33] step 286720/300000 success=45.0% pdr=57.6% (2625s)
[PPO s33] step 290816/300000 success=45.0% pdr=59.6% (2666s)
[PPO s33] step 294912/300000 success=35.0% pdr=59.5% (2708s)
[PPO s33] step 299008/300000 success=40.0% pdr=60.0% (2750s)
FINAL PPO s33: success=34.2%  pdr=60.6%  antijam=98.2%  sinr=4.06dB  energy=1.081
