=== XM-noTrans seed=22 steps=300000 device=cpu ===
[XM-noTrans s22] step 4608/300000 success=45.0% pdr=5.0% (50s)
[XM-noTrans s22] step 9216/300000 success=45.0% pdr=4.4% (99s)
[XM-noTrans s22] step 13824/300000 success=45.0% pdr=8.5% (144s)
[XM-noTrans s22] step 18432/300000 success=45.0% pdr=5.1% (191s)
[XM-noTrans s22] step 20736/300000 success=50.0% pdr=6.9% (220s)
[XM-noTrans s22] step 25344/300000 success=50.0% pdr=4.4% (267s)
[XM-noTrans s22] step 29952/300000 success=50.0% pdr=4.4% (312s)
[XM-noTrans s22] step 34560/300000 success=50.0% pdr=4.5% (359s)
[XM-noTrans s22] step 36864/300000 success=50.0% pdr=4.5% (386s)
[XM-noTrans s22] step 41472/300000 success=50.0% pdr=4.5% (436s)
[XM-noTrans s22] step 46080/300000 success=45.0% pdr=4.5% (484s)
[XM-noTrans s22] step 50688/300000 success=40.0% pdr=4.5% (531s)
[XM-noTrans s22] step 55296/300000 success=35.0% pdr=4.5% (579s)
[XM-noTrans s22] step 57600/300000 success=40.0% pdr=4.9% (610s)
[XM-noTrans s22] step 62208/300000 success=40.0% pdr=4.6% (657s)
[XM-noTrans s22] step 66816/300000 success=35.0% pdr=4.6% (703s)
[XM-noTrans s22] step 71424/300000 success=35.0% pdr=4.6% (752s)
[XM-noTrans s22] step 73728/300000 success=35.0% pdr=4.6% (780s)
[XM-noTrans s22] step 78336/300000 success=35.0% pdr=4.6% (828s)
[XM-noTrans s22] step 82944/300000 success=35.0% pdr=19.0% (873s)
[XM-noTrans s22] step 87552/300000 success=35.0% pdr=7.1% (918s)
[XM-noTrans s22] step 92160/300000 success=35.0% pdr=4.6% (964s)
[XM-noTrans s22] step 94464/300000 success=30.0% pdr=4.6% (990s)
[XM-noTrans s22] step 99072/300000 success=45.0% pdr=4.6% (1035s)
[XM-noTrans s22] step 103680/300000 success=30.0% pdr=4.6% (1077s)
[XM-noTrans s22] step 108288/300000 success=45.0% pdr=4.4% (1121s)
[XM-noTrans s22] step 110592/300000 success=45.0% pdr=4.4% (1148s)
[XM-noTrans s22] step 115200/300000 success=45.0% pdr=5.3% (1192s)
[XM-noTrans s22] step 119808/300000 success=45.0% pdr=6.0% (1237s)
[XM-noTrans s22] step 124416/300000 success=40.0% pdr=4.5% (1284s)
[XM-noTrans s22] step 129024/300000 success=45.0% pdr=21.5% (1330s)
[XM-noTrans s22] step 131328/300000 success=45.0% pdr=4.6% (1358s)
[XM-noTrans s22] step 135936/300000 success=45.0% pdr=4.6% (1405s)
[XM-noTrans s22] step 140544/300000 success=45.0% pdr=4.6% (1452s)
[XM-noTrans s22] step 145152/300000 success=45.0% pdr=4.6% (1498s)
[XM-noTrans s22] step 147456/300000 success=45.0% pdr=4.6% (1526s)
[XM-noTrans s22] step 152064/300000 success=45.0% pdr=4.6% (1574s)
[XM-noTrans s22] step 156672/300000 success=45.0% pdr=8.7% (1621s)
[XM-noTrans s22] step 161280/300000 success=45.0% pdr=4.5% (1668s)
[XM-noTrans s22] step 165888/300000 success=45.0% pdr=4.5% (1715s)
[XM-noTrans s22] step 168192/300000 success=45.0% pdr=4.5% (1741s)
[XM-noTrans s22] step 172800/300000 success=40.0% pdr=4.5% (1788s)
[XM-noTrans s22] step 177408/300000 success=40.0% pdr=4.5% (1832s)
[XM-noTrans s22] step 182016/300000 success=40.0% pdr=4.5% (1878s)
[XM-noTrans s22] step 184320/300000 success=40.0% pdr=4.5% (1907s)
[XM-noTrans s22] step 188928/300000 success=45.0% pdr=4.5% (1951s)
[XM-noTrans s22] step 193536/300000 success=45.0% pdr=4.7% (1993s)
[XM-noTrans s22] step 198144/300000 success=40.0% pdr=8.1% (2036s)
[XM-noTrans s22] step 202752/300000 success=40.0% pdr=17.8% (2078s)
[XM-noTrans s22] step 205056/300000 success=45.0% pdr=15.4% (2104s)
[XM-noTrans s22] step 209664/300000 success=50.0% pdr=13.7% (2149s)
[XM-noTrans s22] step 214272/300000 success=50.0% pdr=4.6% (2194s)
[XM-noTrans s22] step 218880/300000 success=50.0% pdr=4.5% (2239s)
[XM-noTrans s22] step 221184/300000 success=45.0% pdr=4.5% (2265s)
[XM-noTrans s22] step 225792/300000 success=45.0% pdr=18.2% (2310s)
[XM-noTrans s22] step 230400/300000 success=40.0% pdr=19.0% (2354s)
[XM-noTrans s22] step 235008/300000 success=35.0% pdr=5.0% (2401s)
[XM-noTrans s22] step 239616/300000 success=30.0% pdr=5.6% (2446s)
[XM-noTrans s22] step 241920/300000 success=35.0% pdr=4.6% (2472s)
[XM-noTrans s22] step 246528/300000 success=45.0% pdr=4.5% (2517s)
[XM-noTrans s22] step 251136/300000 success=35.0% pdr=4.6% (2560s)
[XM-noTrans s22] step 255744/300000 success=30.0% pdr=5.3% (2602s)
[XM-noTrans s22] step 258048/300000 success=30.0% pdr=5.4% (2630s)
[XM-noTrans s22] step 262656/300000 success=35.0% pdr=4.6% (2672s)
[XM-noTrans s22] step 267264/300000 success=35.0% pdr=4.6% (2717s)
[XM-noTrans s22] step 271872/300000 success=40.0% pdr=4.7% (2762s)
[XM-noTrans s22] step 276480/300000 success=30.0% pdr=8.8% (2807s)
[XM-noTrans s22] step 278784/300000 success=30.0% pdr=9.7% (2835s)
[XM-noTrans s22] step 283392/300000 success=35.0% pdr=7.0% (2878s)
[XM-noTrans s22] step 288000/300000 success=30.0% pdr=8.4% (2921s)
[XM-noTrans s22] step 292608/300000 success=35.0% pdr=16.0% (2966s)
[XM-noTrans s22] step 294912/300000 success=35.0% pdr=11.1% (2993s)
[XM-noTrans s22] step 299520/300000 success=45.0% pdr=28.5% (3037s)
FINAL XM-noTrans s22: success=33.3%  pdr=4.7%  antijam=67.3%  sinr=-2.26dB  energy=0.941
