=== XM-MADRL seed=55 steps=300000 device=cpu ===
[XM-MADRL s55] step 4608/300000 success=40.0% pdr=39.0% (27s)
[XM-MADRL s55] step 9216/300000 success=55.0% pdr=43.0% (53s)
[XM-MADRL s55] step 13824/300000 success=35.0% pdr=46.1% (80s)
[XM-MADRL s55] step 18432/300000 success=45.0% pdr=48.9% (109s)
[XM-MADRL s55] step 20736/300000 success=45.0% pdr=48.6% (127s)
[XM-MADRL s55] step 25344/300000 success=45.0% pdr=43.3% (159s)
[XM-MADRL s55] step 29952/300000 success=45.0% pdr=45.4% (192s)
[XM-MADRL s55] step 34560/300000 success=40.0% pdr=42.8% (227s)
[XM-MADRL s55] step 36864/300000 success=40.0% pdr=41.8% (245s)
[XM-MADRL s55] step 41472/300000 success=45.0% pdr=40.3% (281s)
[XM-MADRL s55] step 46080/300000 success=45.0% pdr=40.0% (311s)
[XM-MADRL s55] step 50688/300000 success=55.0% pdr=43.4% (343s)
[XM-MADRL s55] step 55296/300000 success=55.0% pdr=41.0% (373s)
[XM-MADRL s55] step 57600/300000 success=65.0% pdr=39.7% (391s)
[XM-MADRL s55] step 62208/300000 success=50.0% pdr=38.7% (424s)
[XM-MADRL s55] step 66816/300000 success=55.0% pdr=37.1% (453s)
[XM-MADRL s55] step 71424/300000 success=45.0% pdr=37.4% (482s)
[XM-MADRL s55] step 73728/300000 success=55.0% pdr=41.7% (499s)
[XM-MADRL s55] step 78336/300000 success=55.0% pdr=45.3% (528s)
[XM-MADRL s55] step 82944/300000 success=55.0% pdr=46.2% (556s)
[XM-MADRL s55] step 87552/300000 success=60.0% pdr=45.9% (592s)
[XM-MADRL s55] step 92160/300000 success=45.0% pdr=42.3% (643s)
[XM-MADRL s55] step 94464/300000 success=45.0% pdr=42.4% (672s)
[XM-MADRL s55] step 99072/300000 success=50.0% pdr=44.0% (725s)
[XM-MADRL s55] step 103680/300000 success=50.0% pdr=47.0% (810s)
[XM-MADRL s55] step 108288/300000 success=50.0% pdr=48.9% (903s)
[XM-MADRL s55] step 110592/300000 success=50.0% pdr=49.2% (935s)
[XM-MADRL s55] step 115200/300000 success=40.0% pdr=51.2% (988s)
[XM-MADRL s55] step 119808/300000 success=35.0% pdr=48.6% (1042s)
[XM-MADRL s55] step 124416/300000 success=40.0% pdr=48.3% (1124s)
[XM-MADRL s55] step 129024/300000 success=35.0% pdr=47.3% (1207s)
[XM-MADRL s55] step 131328/300000 success=35.0% pdr=46.5% (1237s)
[XM-MADRL s55] step 135936/300000 success=35.0% pdr=46.3% (1289s)
[XM-MADRL s55] step 140544/300000 success=40.0% pdr=48.3% (1350s)
[XM-MADRL s55] step 145152/300000 success=45.0% pdr=48.9% (1438s)
[XM-MADRL s55] step 147456/300000 success=45.0% pdr=49.1% (1469s)
[XM-MADRL s55] step 152064/300000 success=40.0% pdr=48.7% (1524s)
[XM-MADRL s55] step 156672/300000 success=40.0% pdr=48.1% (1579s)
[XM-MADRL s55] step 161280/300000 success=40.0% pdr=47.5% (1669s)
[XM-MADRL s55] step 165888/300000 success=40.0% pdr=45.7% (1730s)
[XM-MADRL s55] step 168192/300000 success=40.0% pdr=45.9% (1759s)
[XM-MADRL s55] step 172800/300000 success=45.0% pdr=47.7% (1810s)
[XM-MADRL s55] step 177408/300000 success=45.0% pdr=48.4% (1877s)
[XM-MADRL s55] step 182016/300000 success=45.0% pdr=48.5% (1961s)
[XM-MADRL s55] step 184320/300000 success=40.0% pdr=48.6% (1990s)
[XM-MADRL s55] step 188928/300000 success=35.0% pdr=49.0% (2043s)
[XM-MADRL s55] step 193536/300000 success=35.0% pdr=48.3% (2097s)
[XM-MADRL s55] step 198144/300000 success=45.0% pdr=48.2% (2183s)
[XM-MADRL s55] step 202752/300000 success=40.0% pdr=48.0% (2249s)
[XM-MADRL s55] step 205056/300000 success=45.0% pdr=48.2% (2278s)
[XM-MADRL s55] step 209664/300000 success=50.0% pdr=48.1% (2331s)
[XM-MADRL s55] step 214272/300000 success=50.0% pdr=48.7% (2401s)
[XM-MADRL s55] step 218880/300000 success=50.0% pdr=49.8% (2485s)
[XM-MADRL s55] step 221184/300000 success=40.0% pdr=49.7% (2514s)
