=== XM-noMAML seed=44 steps=300000 device=cpu ===
[XM-noMAML s44] step 4096/300000 success=45.0% pdr=38.2% (236s)
[XM-noMAML s44] step 8192/300000 success=50.0% pdr=43.5% (484s)
[XM-noMAML s44] step 12288/300000 success=40.0% pdr=34.3% (731s)
[XM-noMAML s44] step 16384/300000 success=45.0% pdr=33.8% (841s)
[XM-noMAML s44] step 20480/300000 success=50.0% pdr=34.1% (956s)
[XM-noMAML s44] step 24576/300000 success=50.0% pdr=29.9% (1182s)
[XM-noMAML s44] step 28672/300000 success=55.0% pdr=35.1% (1412s)
[XM-noMAML s44] step 32768/300000 success=45.0% pdr=35.6% (1643s)
[XM-noMAML s44] step 36864/300000 success=40.0% pdr=37.8% (1892s)
[XM-noMAML s44] step 40960/300000 success=50.0% pdr=42.0% (2145s)
[XM-noMAML s44] step 45056/300000 success=45.0% pdr=41.8% (2406s)
[XM-noMAML s44] step 49152/300000 success=65.0% pdr=49.4% (2664s)
[XM-noMAML s44] step 53248/300000 success=40.0% pdr=51.4% (2911s)
[XM-noMAML s44] step 57344/300000 success=45.0% pdr=53.6% (3167s)
[XM-noMAML s44] step 61440/300000 success=40.0% pdr=51.0% (3394s)
[XM-noMAML s44] step 65536/300000 success=40.0% pdr=47.1% (3624s)
[XM-noMAML s44] step 69632/300000 success=50.0% pdr=50.3% (3864s)
[XM-noMAML s44] step 73728/300000 success=40.0% pdr=52.2% (4121s)
[XM-noMAML s44] step 77824/300000 success=40.0% pdr=55.4% (4340s)
[XM-noMAML s44] step 81920/300000 success=30.0% pdr=57.7% (4490s)
[XM-noMAML s44] step 86016/300000 success=40.0% pdr=56.0% (4697s)
[XM-noMAML s44] step 90112/300000 success=45.0% pdr=56.4% (4864s)
[XM-noMAML s44] step 94208/300000 success=50.0% pdr=56.3% (5002s)
[XM-noMAML s44] step 98304/300000 success=55.0% pdr=56.4% (5125s)
[XM-noMAML s44] step 102400/300000 success=55.0% pdr=55.4% (5279s)
[XM-noMAML s44] step 106496/300000 success=35.0% pdr=55.5% (5469s)
