=== XM-noXAI seed=44 steps=300000 device=cpu ===
[XM-noXAI s44] step 4608/300000 success=45.0% pdr=13.7% (115s)
[XM-noXAI s44] step 9216/300000 success=40.0% pdr=5.1% (228s)
[XM-noXAI s44] step 13824/300000 success=50.0% pdr=10.1% (347s)
[XM-noXAI s44] step 18432/300000 success=50.0% pdr=10.4% (465s)
[XM-noXAI s44] step 20736/300000 success=50.0% pdr=40.5% (536s)
[XM-noXAI s44] step 25344/300000 success=50.0% pdr=29.7% (724s)
[XM-noXAI s44] step 29952/300000 success=45.0% pdr=18.8% (836s)
[XM-noXAI s44] step 34560/300000 success=35.0% pdr=24.8% (952s)
[XM-noXAI s44] step 36864/300000 success=35.0% pdr=22.4% (1019s)
[XM-noXAI s44] step 41472/300000 success=40.0% pdr=28.2% (1137s)
[XM-noXAI s44] step 46080/300000 success=50.0% pdr=4.7% (1258s)
[XM-noXAI s44] step 50688/300000 success=50.0% pdr=8.3% (1375s)
[XM-noXAI s44] step 55296/300000 success=45.0% pdr=13.4% (1496s)
[XM-noXAI s44] step 57600/300000 success=45.0% pdr=25.1% (1567s)
[XM-noXAI s44] step 62208/300000 success=45.0% pdr=27.1% (1736s)
[XM-noXAI s44] step 66816/300000 success=35.0% pdr=14.9% (1853s)
[XM-noXAI s44] step 71424/300000 success=35.0% pdr=22.3% (1970s)
[XM-noXAI s44] step 73728/300000 success=35.0% pdr=13.2% (2041s)
[XM-noXAI s44] step 78336/300000 success=30.0% pdr=12.7% (2162s)
[XM-noXAI s44] step 82944/300000 success=45.0% pdr=4.5% (2274s)
[XM-noXAI s44] step 87552/300000 success=45.0% pdr=18.2% (2377s)
[XM-noXAI s44] step 92160/300000 success=50.0% pdr=7.6% (2465s)
[XM-noXAI s44] step 94464/300000 success=50.0% pdr=12.8% (2512s)
[XM-noXAI s44] step 99072/300000 success=50.0% pdr=20.7% (2598s)
[XM-noXAI s44] step 103680/300000 success=60.0% pdr=14.5% (2677s)
[XM-noXAI s44] step 108288/300000 success=60.0% pdr=13.0% (2720s)
[XM-noXAI s44] step 110592/300000 success=55.0% pdr=15.4% (2744s)
[XM-noXAI s44] step 115200/300000 success=45.0% pdr=30.4% (2792s)
[XM-noXAI s44] step 119808/300000 success=50.0% pdr=25.9% (2840s)
[XM-noXAI s44] step 124416/300000 success=45.0% pdr=31.0% (2886s)
[XM-noXAI s44] step 129024/300000 success=50.0% pdr=31.6% (2927s)
[XM-noXAI s44] step 131328/300000 success=50.0% pdr=25.7% (2953s)
[XM-noXAI s44] step 135936/300000 success=40.0% pdr=33.1% (3027s)
[XM-noXAI s44] step 140544/300000 success=45.0% pdr=29.7% (3125s)
[XM-noXAI s44] step 145152/300000 success=40.0% pdr=36.8% (3161s)
[XM-noXAI s44] step 147456/300000 success=35.0% pdr=28.9% (3184s)
[XM-noXAI s44] step 152064/300000 success=40.0% pdr=29.6% (3226s)
