=== XM-noGNN seed=11 steps=300000 device=cpu ===
[XM-noGNN s11] step 4608/300000 success=45.0% pdr=5.4% (130s)
[XM-noGNN s11] step 9216/300000 success=55.0% pdr=18.0% (254s)
[XM-noGNN s11] step 13824/300000 success=55.0% pdr=4.6% (380s)
[XM-noGNN s11] step 18432/300000 success=50.0% pdr=4.6% (500s)
[XM-noGNN s11] step 20736/300000 success=50.0% pdr=23.3% (563s)
[XM-noGNN s11] step 25344/300000 success=35.0% pdr=4.5% (681s)
[XM-noGNN s11] step 29952/300000 success=30.0% pdr=4.5% (800s)
[XM-noGNN s11] step 34560/300000 success=40.0% pdr=4.5% (928s)
[XM-noGNN s11] step 36864/300000 success=45.0% pdr=4.5% (1001s)
[XM-noGNN s11] step 41472/300000 success=40.0% pdr=4.5% (1131s)
[XM-noGNN s11] step 46080/300000 success=40.0% pdr=7.9% (1259s)
[XM-noGNN s11] step 50688/300000 success=45.0% pdr=18.6% (1382s)
[XM-noGNN s11] step 55296/300000 success=45.0% pdr=23.0% (1508s)
[XM-noGNN s11] step 57600/300000 success=45.0% pdr=7.0% (1579s)
[XM-noGNN s11] step 62208/300000 success=40.0% pdr=4.6% (1705s)
[XM-noGNN s11] step 66816/300000 success=35.0% pdr=4.6% (1833s)
[XM-noGNN s11] step 71424/300000 success=40.0% pdr=4.6% (1959s)
[XM-noGNN s11] step 73728/300000 success=40.0% pdr=4.6% (2033s)
[XM-noGNN s11] step 78336/300000 success=40.0% pdr=4.6% (2156s)
[XM-noGNN s11] step 82944/300000 success=40.0% pdr=6.1% (2277s)
[XM-noGNN s11] step 87552/300000 success=40.0% pdr=4.5% (2399s)
[XM-noGNN s11] step 92160/300000 success=40.0% pdr=4.5% (2576s)
[XM-noGNN s11] step 94464/300000 success=45.0% pdr=4.5% (2651s)
[XM-noGNN s11] step 99072/300000 success=45.0% pdr=4.6% (2780s)
[XM-noGNN s11] step 103680/300000 success=45.0% pdr=4.5% (2905s)
[XM-noGNN s11] step 108288/300000 success=50.0% pdr=4.5% (3028s)
[XM-noGNN s11] step 110592/300000 success=50.0% pdr=4.6% (3102s)
[XM-noGNN s11] step 115200/300000 success=55.0% pdr=6.0% (3223s)
[XM-noGNN s11] step 119808/300000 success=50.0% pdr=4.9% (3349s)
[XM-noGNN s11] step 124416/300000 success=45.0% pdr=4.5% (3476s)
