=== XM-noXAI seed=22 steps=300000 device=cpu ===
[XM-noXAI s22] step 4608/300000 success=45.0% pdr=4.5% (113s)
[XM-noXAI s22] step 9216/300000 success=45.0% pdr=20.1% (225s)
[XM-noXAI s22] step 13824/300000 success=45.0% pdr=4.5% (337s)
[XM-noXAI s22] step 18432/300000 success=35.0% pdr=4.6% (454s)
[XM-noXAI s22] step 20736/300000 success=35.0% pdr=4.6% (522s)
[XM-noXAI s22] step 25344/300000 success=35.0% pdr=7.2% (641s)
[XM-noXAI s22] step 29952/300000 success=40.0% pdr=11.6% (829s)
[XM-noXAI s22] step 34560/300000 success=35.0% pdr=4.6% (938s)
[XM-noXAI s22] step 36864/300000 success=40.0% pdr=9.6% (1004s)
[XM-noXAI s22] step 41472/300000 success=35.0% pdr=22.1% (1122s)
[XM-noXAI s22] step 46080/300000 success=40.0% pdr=4.6% (1238s)
[XM-noXAI s22] step 50688/300000 success=45.0% pdr=4.7% (1358s)
[XM-noXAI s22] step 55296/300000 success=40.0% pdr=25.3% (1473s)
[XM-noXAI s22] step 57600/300000 success=45.0% pdr=10.6% (1545s)
[XM-noXAI s22] step 62208/300000 success=45.0% pdr=4.6% (1663s)
[XM-noXAI s22] step 66816/300000 success=45.0% pdr=20.8% (1837s)
[XM-noXAI s22] step 71424/300000 success=45.0% pdr=22.9% (1953s)
[XM-noXAI s22] step 73728/300000 success=45.0% pdr=4.5% (2021s)
[XM-noXAI s22] step 78336/300000 success=45.0% pdr=4.5% (2138s)
[XM-noXAI s22] step 82944/300000 success=40.0% pdr=5.3% (2260s)
[XM-noXAI s22] step 87552/300000 success=35.0% pdr=16.0% (2374s)
[XM-noXAI s22] step 92160/300000 success=40.0% pdr=4.6% (2477s)
[XM-noXAI s22] step 94464/300000 success=45.0% pdr=10.9% (2531s)
[XM-noXAI s22] step 99072/300000 success=35.0% pdr=4.5% (2615s)
[XM-noXAI s22] step 103680/300000 success=45.0% pdr=4.5% (2700s)
[XM-noXAI s22] step 108288/300000 success=40.0% pdr=10.8% (2784s)
[XM-noXAI s22] step 110592/300000 success=35.0% pdr=16.9% (2808s)
[XM-noXAI s22] step 115200/300000 success=35.0% pdr=4.6% (2851s)
[XM-noXAI s22] step 119808/300000 success=40.0% pdr=19.0% (2898s)
[XM-noXAI s22] step 124416/300000 success=40.0% pdr=22.7% (2946s)
[XM-noXAI s22] step 129024/300000 success=40.0% pdr=26.0% (2993s)
[XM-noXAI s22] step 131328/300000 success=40.0% pdr=19.4% (3017s)
[XM-noXAI s22] step 135936/300000 success=50.0% pdr=4.7% (3055s)
[XM-noXAI s22] step 140544/300000 success=50.0% pdr=4.7% (3130s)
[XM-noXAI s22] step 145152/300000 success=45.0% pdr=4.7% (3222s)
[XM-noXAI s22] step 147456/300000 success=50.0% pdr=4.7% (3253s)
[XM-noXAI s22] step 152064/300000 success=45.0% pdr=5.2% (3291s)
[XM-noXAI s22] step 156672/300000 success=45.0% pdr=10.3% (3333s)
