=== XM-noGNN seed=44 steps=300000 device=cpu ===
[XM-noGNN s44] step 4608/300000 success=45.0% pdr=16.2% (129s)
[XM-noGNN s44] step 9216/300000 success=40.0% pdr=4.7% (252s)
[XM-noGNN s44] step 13824/300000 success=35.0% pdr=4.5% (377s)
[XM-noGNN s44] step 18432/300000 success=30.0% pdr=4.5% (504s)
[XM-noGNN s44] step 20736/300000 success=35.0% pdr=4.5% (576s)
[XM-noGNN s44] step 25344/300000 success=45.0% pdr=20.4% (705s)
[XM-noGNN s44] step 29952/300000 success=30.0% pdr=13.0% (833s)
[XM-noGNN s44] step 34560/300000 success=40.0% pdr=4.5% (956s)
[XM-noGNN s44] step 36864/300000 success=40.0% pdr=4.5% (1027s)
[XM-noGNN s44] step 41472/300000 success=35.0% pdr=4.5% (1145s)
[XM-noGNN s44] step 46080/300000 success=40.0% pdr=4.5% (1265s)
[XM-noGNN s44] step 50688/300000 success=45.0% pdr=4.5% (1387s)
[XM-noGNN s44] step 55296/300000 success=45.0% pdr=4.5% (1509s)
[XM-noGNN s44] step 57600/300000 success=45.0% pdr=4.5% (1583s)
[XM-noGNN s44] step 62208/300000 success=30.0% pdr=4.5% (1705s)
[XM-noGNN s44] step 66816/300000 success=35.0% pdr=4.5% (1829s)
[XM-noGNN s44] step 71424/300000 success=30.0% pdr=4.5% (1951s)
[XM-noGNN s44] step 73728/300000 success=35.0% pdr=10.1% (2024s)
[XM-noGNN s44] step 78336/300000 success=40.0% pdr=9.4% (2142s)
[XM-noGNN s44] step 82944/300000 success=40.0% pdr=19.2% (2257s)
[XM-noGNN s44] step 87552/300000 success=50.0% pdr=16.7% (2372s)
[XM-noGNN s44] step 92160/300000 success=50.0% pdr=4.7% (2542s)
[XM-noGNN s44] step 94464/300000 success=50.0% pdr=4.5% (2625s)
[XM-noGNN s44] step 99072/300000 success=45.0% pdr=17.6% (2739s)
[XM-noGNN s44] step 103680/300000 success=45.0% pdr=4.5% (2848s)
[XM-noGNN s44] step 108288/300000 success=45.0% pdr=4.5% (2957s)
[XM-noGNN s44] step 110592/300000 success=45.0% pdr=4.5% (3022s)
[XM-noGNN s44] step 115200/300000 success=45.0% pdr=9.8% (3134s)
[XM-noGNN s44] step 119808/300000 success=45.0% pdr=20.3% (3249s)
[XM-noGNN s44] step 124416/300000 success=35.0% pdr=26.6% (3363s)
[XM-noGNN s44] step 129024/300000 success=35.0% pdr=30.4% (3476s)
[XM-noGNN s44] step 131328/300000 success=45.0% pdr=20.7% (3539s)
[XM-noGNN s44] step 135936/300000 success=40.0% pdr=4.6% (3648s)
[XM-noGNN s44] step 140544/300000 success=40.0% pdr=21.8% (3755s)
[XM-noGNN s44] step 145152/300000 success=40.0% pdr=20.8% (3862s)
[XM-noGNN s44] step 147456/300000 success=40.0% pdr=19.9% (3927s)
[XM-noGNN s44] step 152064/300000 success=35.0% pdr=16.6% (4040s)
[XM-noGNN s44] step 156672/300000 success=45.0% pdr=19.2% (4150s)
[XM-noGNN s44] step 161280/300000 success=40.0% pdr=18.5% (4264s)
[XM-noGNN s44] step 165888/300000 success=45.0% pdr=34.4% (4377s)
[XM-noGNN s44] step 168192/300000 success=45.0% pdr=38.4% (4439s)
[XM-noGNN s44] step 172800/300000 success=45.0% pdr=26.3% (4549s)
[XM-noGNN s44] step 177408/300000 success=35.0% pdr=32.4% (4654s)
[XM-noGNN s44] step 182016/300000 success=35.0% pdr=33.2% (4760s)
[XM-noGNN s44] step 184320/300000 success=35.0% pdr=30.0% (4823s)
[XM-noGNN s44] step 188928/300000 success=40.0% pdr=28.3% (4929s)
[XM-noGNN s44] step 193536/300000 success=40.0% pdr=34.2% (5039s)
[XM-noGNN s44] step 198144/300000 success=40.0% pdr=34.5% (5146s)
[XM-noGNN s44] step 202752/300000 success=50.0% pdr=29.2% (5253s)
[XM-noGNN s44] step 205056/300000 success=50.0% pdr=24.4% (5314s)
[XM-noGNN s44] step 209664/300000 success=40.0% pdr=27.1% (5424s)
[XM-noGNN s44] step 214272/300000 success=35.0% pdr=32.0% (5529s)
[XM-noGNN s44] step 218880/300000 success=45.0% pdr=19.7% (5635s)
[XM-noGNN s44] step 221184/300000 success=45.0% pdr=18.1% (5698s)
[XM-noGNN s44] step 225792/300000 success=35.0% pdr=38.4% (5803s)
[XM-noGNN s44] step 230400/300000 success=45.0% pdr=36.4% (5908s)
[XM-noGNN s44] step 235008/300000 success=45.0% pdr=33.5% (6014s)
[XM-noGNN s44] step 239616/300000 success=40.0% pdr=30.1% (6125s)
[XM-noGNN s44] step 241920/300000 success=40.0% pdr=31.1% (6190s)
[XM-noGNN s44] step 246528/300000 success=35.0% pdr=37.4% (6305s)
[XM-noGNN s44] step 251136/300000 success=40.0% pdr=48.8% (6484s)
[XM-noGNN s44] step 255744/300000 success=45.0% pdr=43.0% (6589s)
[XM-noGNN s44] step 258048/300000 success=45.0% pdr=47.9% (6652s)
[XM-noGNN s44] step 262656/300000 success=40.0% pdr=48.3% (6763s)
[XM-noGNN s44] step 267264/300000 success=40.0% pdr=31.1% (6876s)
[XM-noGNN s44] step 271872/300000 success=45.0% pdr=38.9% (6989s)
[XM-noGNN s44] step 276480/300000 success=45.0% pdr=38.3% (7100s)
[XM-noGNN s44] step 278784/300000 success=50.0% pdr=34.8% (7168s)
[XM-noGNN s44] step 283392/300000 success=50.0% pdr=42.3% (7281s)
[XM-noGNN s44] step 288000/300000 success=45.0% pdr=33.5% (7445s)
[XM-noGNN s44] step 292608/300000 success=45.0% pdr=31.6% (7561s)
[XM-noGNN s44] step 294912/300000 success=45.0% pdr=36.8% (7625s)
[XM-noGNN s44] step 299520/300000 success=45.0% pdr=41.3% (7735s)
FINAL XM-noGNN s44: success=42.5%  pdr=44.5%  antijam=90.4%  sinr=2.49dB  energy=1.470
