=== A2C seed=44 steps=300000 device=cpu ===
[A2C s44] step 4096/300000 success=40.0% pdr=17.2% (39s)
[A2C s44] step 8192/300000 success=50.0% pdr=22.7% (78s)
[A2C s44] step 12288/300000 success=50.0% pdr=13.9% (116s)
[A2C s44] step 16384/300000 success=50.0% pdr=34.0% (155s)
[A2C s44] step 20480/300000 success=45.0% pdr=28.0% (194s)
[A2C s44] step 24576/300000 success=45.0% pdr=32.0% (233s)
[A2C s44] step 28672/300000 success=45.0% pdr=34.9% (274s)
[A2C s44] step 32768/300000 success=45.0% pdr=33.6% (288s)
[A2C s44] step 36864/300000 success=45.0% pdr=32.4% (308s)
[A2C s44] step 40960/300000 success=45.0% pdr=40.5% (354s)
[A2C s44] step 45056/300000 success=45.0% pdr=35.9% (395s)
[A2C s44] step 49152/300000 success=45.0% pdr=33.9% (436s)
[A2C s44] step 53248/300000 success=45.0% pdr=41.9% (480s)
[A2C s44] step 57344/300000 success=45.0% pdr=47.2% (522s)
[A2C s44] step 61440/300000 success=45.0% pdr=37.1% (567s)
[A2C s44] step 65536/300000 success=50.0% pdr=45.0% (611s)
[A2C s44] step 69632/300000 success=55.0% pdr=38.6% (655s)
[A2C s44] step 73728/300000 success=55.0% pdr=47.8% (697s)
[A2C s44] step 77824/300000 success=55.0% pdr=55.2% (739s)
[A2C s44] step 81920/300000 success=50.0% pdr=53.0% (808s)
[A2C s44] step 86016/300000 success=45.0% pdr=49.4% (862s)
[A2C s44] step 90112/300000 success=35.0% pdr=38.5% (874s)
[A2C s44] step 94208/300000 success=40.0% pdr=39.4% (884s)
[A2C s44] step 98304/300000 success=40.0% pdr=41.3% (895s)
[A2C s44] step 102400/300000 success=35.0% pdr=44.2% (905s)
[A2C s44] step 106496/300000 success=40.0% pdr=55.0% (917s)
[A2C s44] step 110592/300000 success=40.0% pdr=56.1% (928s)
[A2C s44] step 114688/300000 success=45.0% pdr=58.7% (939s)
[A2C s44] step 118784/300000 success=50.0% pdr=59.3% (951s)
[A2C s44] step 122880/300000 success=50.0% pdr=59.9% (963s)
[A2C s44] step 126976/300000 success=50.0% pdr=58.6% (975s)
[A2C s44] step 131072/300000 success=45.0% pdr=57.2% (988s)
[A2C s44] step 135168/300000 success=45.0% pdr=57.0% (1001s)
[A2C s44] step 139264/300000 success=45.0% pdr=57.9% (1014s)
[A2C s44] step 143360/300000 success=45.0% pdr=58.1% (1028s)
[A2C s44] step 147456/300000 success=45.0% pdr=55.3% (1039s)
[A2C s44] step 151552/300000 success=30.0% pdr=55.8% (1054s)
[A2C s44] step 155648/300000 success=35.0% pdr=56.6% (1067s)
[A2C s44] step 159744/300000 success=45.0% pdr=57.1% (1082s)
[A2C s44] step 163840/300000 success=45.0% pdr=58.2% (1094s)
[A2C s44] step 167936/300000 success=45.0% pdr=57.7% (1108s)
[A2C s44] step 172032/300000 success=45.0% pdr=56.2% (1118s)
[A2C s44] step 176128/300000 success=40.0% pdr=54.4% (1132s)
[A2C s44] step 180224/300000 success=35.0% pdr=57.1% (1143s)
[A2C s44] step 184320/300000 success=40.0% pdr=57.0% (1156s)
[A2C s44] step 188416/300000 success=50.0% pdr=56.7% (1168s)
[A2C s44] step 192512/300000 success=50.0% pdr=56.3% (1180s)
[A2C s44] step 196608/300000 success=45.0% pdr=56.8% (1193s)
[A2C s44] step 200704/300000 success=50.0% pdr=57.7% (1204s)
[A2C s44] step 204800/300000 success=50.0% pdr=57.1% (1217s)
[A2C s44] step 208896/300000 success=35.0% pdr=57.4% (1228s)
[A2C s44] step 212992/300000 success=35.0% pdr=56.9% (1243s)
[A2C s44] step 217088/300000 success=45.0% pdr=56.5% (1255s)
[A2C s44] step 221184/300000 success=45.0% pdr=57.1% (1268s)
[A2C s44] step 225280/300000 success=45.0% pdr=55.6% (1294s)
[A2C s44] step 229376/300000 success=35.0% pdr=51.7% (1341s)
[A2C s44] step 233472/300000 success=35.0% pdr=56.9% (1386s)
[A2C s44] step 237568/300000 success=50.0% pdr=55.4% (1431s)
[A2C s44] step 241664/300000 success=40.0% pdr=54.3% (1476s)
[A2C s44] step 245760/300000 success=45.0% pdr=48.8% (1521s)
[A2C s44] step 249856/300000 success=45.0% pdr=55.9% (1570s)
[A2C s44] step 253952/300000 success=45.0% pdr=59.2% (1616s)
[A2C s44] step 258048/300000 success=45.0% pdr=57.6% (1639s)
[A2C s44] step 262144/300000 success=45.0% pdr=60.0% (1653s)
[A2C s44] step 266240/300000 success=40.0% pdr=52.9% (1662s)
[A2C s44] step 270336/300000 success=40.0% pdr=56.5% (1674s)
[A2C s44] step 274432/300000 success=40.0% pdr=57.1% (1719s)
[A2C s44] step 278528/300000 success=45.0% pdr=53.8% (1749s)
[A2C s44] step 282624/300000 success=45.0% pdr=52.9% (1758s)
[A2C s44] step 286720/300000 success=40.0% pdr=52.9% (1767s)
[A2C s44] step 290816/300000 success=35.0% pdr=56.2% (1780s)
[A2C s44] step 294912/300000 success=45.0% pdr=59.1% (1794s)
[A2C s44] step 299008/300000 success=40.0% pdr=58.2% (1831s)
FINAL A2C s44: success=37.5%  pdr=59.3%  antijam=98.1%  sinr=3.96dB  energy=1.173
