=== XM-noMAML seed=11 steps=300000 device=cpu ===
[XM-noMAML s11] step 4096/300000 success=55.0% pdr=4.5% (203s)
[XM-noMAML s11] step 8192/300000 success=45.0% pdr=12.2% (407s)
[XM-noMAML s11] step 12288/300000 success=55.0% pdr=5.5% (608s)
[XM-noMAML s11] step 16384/300000 success=45.0% pdr=4.5% (809s)
[XM-noMAML s11] step 20480/300000 success=45.0% pdr=36.4% (1051s)
[XM-noMAML s11] step 24576/300000 success=55.0% pdr=23.6% (1260s)
[XM-noMAML s11] step 28672/300000 success=45.0% pdr=16.3% (1511s)
[XM-noMAML s11] step 32768/300000 success=40.0% pdr=16.9% (1708s)
[XM-noMAML s11] step 36864/300000 success=45.0% pdr=24.6% (1970s)
[XM-noMAML s11] step 40960/300000 success=40.0% pdr=16.5% (2175s)
[XM-noMAML s11] step 45056/300000 success=35.0% pdr=22.8% (2381s)
[XM-noMAML s11] step 49152/300000 success=40.0% pdr=26.6% (2631s)
[XM-noMAML s11] step 53248/300000 success=35.0% pdr=29.2% (2833s)
[XM-noMAML s11] step 57344/300000 success=35.0% pdr=21.9% (3036s)
[XM-noMAML s11] step 61440/300000 success=40.0% pdr=24.4% (3293s)
[XM-noMAML s11] step 65536/300000 success=40.0% pdr=28.7% (3488s)
[XM-noMAML s11] step 69632/300000 success=40.0% pdr=33.1% (3690s)
[XM-noMAML s11] step 73728/300000 success=55.0% pdr=31.4% (3893s)
[XM-noMAML s11] step 77824/300000 success=45.0% pdr=27.6% (4086s)
[XM-noMAML s11] step 81920/300000 success=45.0% pdr=32.7% (4285s)
[XM-noMAML s11] step 86016/300000 success=50.0% pdr=5.6% (4485s)
[XM-noMAML s11] step 90112/300000 success=50.0% pdr=30.4% (4743s)
[XM-noMAML s11] step 94208/300000 success=40.0% pdr=22.9% (4942s)
[XM-noMAML s11] step 98304/300000 success=50.0% pdr=29.1% (5130s)
[XM-noMAML s11] step 102400/300000 success=40.0% pdr=20.1% (5362s)
[XM-noMAML s11] step 106496/300000 success=40.0% pdr=17.6% (5612s)
[XM-noMAML s11] step 110592/300000 success=30.0% pdr=21.3% (5814s)
[XM-noMAML s11] step 114688/300000 success=55.0% pdr=14.0% (6014s)
[XM-noMAML s11] step 118784/300000 success=45.0% pdr=18.0% (6213s)
[XM-noMAML s11] step 122880/300000 success=50.0% pdr=27.9% (6409s)
[XM-noMAML s11] step 126976/300000 success=55.0% pdr=25.1% (6613s)
[XM-noMAML s11] step 131072/300000 success=40.0% pdr=24.9% (6870s)
[XM-noMAML s11] step 135168/300000 success=45.0% pdr=23.2% (7064s)
[XM-noMAML s11] step 139264/300000 success=40.0% pdr=22.5% (7264s)
[XM-noMAML s11] step 143360/300000 success=40.0% pdr=24.8% (7467s)
[XM-noMAML s11] step 147456/300000 success=45.0% pdr=30.6% (7665s)
[XM-noMAML s11] step 151552/300000 success=45.0% pdr=25.4% (7860s)
[XM-noMAML s11] step 155648/300000 success=30.0% pdr=29.6% (8058s)
[XM-noMAML s11] step 159744/300000 success=45.0% pdr=33.7% (8254s)
[XM-noMAML s11] step 163840/300000 success=45.0% pdr=38.1% (8462s)
[XM-noMAML s11] step 167936/300000 success=45.0% pdr=35.0% (8684s)
[XM-noMAML s11] step 172032/300000 success=40.0% pdr=31.4% (8900s)
[XM-noMAML s11] step 176128/300000 success=40.0% pdr=34.5% (9105s)
[XM-noMAML s11] step 180224/300000 success=45.0% pdr=23.4% (9311s)
[XM-noMAML s11] step 184320/300000 success=50.0% pdr=33.3% (9512s)
[XM-noMAML s11] step 188416/300000 success=40.0% pdr=33.7% (9707s)
[XM-noMAML s11] step 192512/300000 success=45.0% pdr=28.1% (9913s)
[XM-noMAML s11] step 196608/300000 success=45.0% pdr=32.2% (10114s)
[XM-noMAML s11] step 200704/300000 success=35.0% pdr=38.1% (10320s)
[XM-noMAML s11] step 204800/300000 success=30.0% pdr=36.6% (10523s)
[XM-noMAML s11] step 208896/300000 success=45.0% pdr=36.9% (10719s)
[XM-noMAML s11] step 212992/300000 success=45.0% pdr=33.5% (10927s)
[XM-noMAML s11] step 217088/300000 success=45.0% pdr=37.3% (11120s)
[XM-noMAML s11] step 221184/300000 success=40.0% pdr=34.6% (11305s)
[XM-noMAML s11] step 225280/300000 success=40.0% pdr=37.5% (11501s)
[XM-noMAML s11] step 229376/300000 success=45.0% pdr=32.4% (11759s)
[XM-noMAML s11] step 233472/300000 success=55.0% pdr=27.1% (11962s)
[XM-noMAML s11] step 237568/300000 success=40.0% pdr=24.9% (12165s)
[XM-noMAML s11] step 241664/300000 success=45.0% pdr=33.2% (12369s)
[XM-noMAML s11] step 245760/300000 success=45.0% pdr=34.4% (12571s)
[XM-noMAML s11] step 249856/300000 success=45.0% pdr=35.1% (12775s)
[XM-noMAML s11] step 253952/300000 success=50.0% pdr=44.2% (12977s)
[XM-noMAML s11] step 258048/300000 success=35.0% pdr=45.2% (13173s)
[XM-noMAML s11] step 262144/300000 success=45.0% pdr=45.8% (13367s)
[XM-noMAML s11] step 266240/300000 success=35.0% pdr=40.8% (13570s)
[XM-noMAML s11] step 270336/300000 success=40.0% pdr=35.9% (13775s)
[XM-noMAML s11] step 274432/300000 success=35.0% pdr=37.5% (13980s)
[XM-noMAML s11] step 278528/300000 success=45.0% pdr=41.8% (14180s)
[XM-noMAML s11] step 282624/300000 success=45.0% pdr=42.4% (14376s)
[XM-noMAML s11] step 286720/300000 success=35.0% pdr=45.3% (14578s)
[XM-noMAML s11] step 290816/300000 success=45.0% pdr=44.5% (14780s)
[XM-noMAML s11] step 294912/300000 success=35.0% pdr=47.0% (14975s)
[XM-noMAML s11] step 299008/300000 success=45.0% pdr=48.8% (15177s)
FINAL XM-noMAML s11: success=39.2%  pdr=53.3%  antijam=98.0%  sinr=3.40dB  energy=1.345
