=== XM-noTrans seed=55 steps=300000 device=cpu ===
[XM-noTrans s55] step 4608/300000 success=50.0% pdr=24.7% (85s)
[XM-noTrans s55] step 9216/300000 success=50.0% pdr=28.4% (138s)
[XM-noTrans s55] step 13824/300000 success=50.0% pdr=27.0% (190s)
[XM-noTrans s55] step 18432/300000 success=35.0% pdr=26.8% (254s)
[XM-noTrans s55] step 20736/300000 success=45.0% pdr=29.6% (324s)
[XM-noTrans s55] step 25344/300000 success=45.0% pdr=38.9% (383s)
[XM-noTrans s55] step 29952/300000 success=45.0% pdr=41.4% (435s)
[XM-noTrans s55] step 34560/300000 success=45.0% pdr=34.9% (486s)
[XM-noTrans s55] step 36864/300000 success=50.0% pdr=33.0% (522s)
[XM-noTrans s55] step 41472/300000 success=55.0% pdr=32.5% (618s)
[XM-noTrans s55] step 46080/300000 success=60.0% pdr=32.2% (672s)
[XM-noTrans s55] step 50688/300000 success=55.0% pdr=29.9% (724s)
[XM-noTrans s55] step 55296/300000 success=55.0% pdr=26.4% (779s)
[XM-noTrans s55] step 57600/300000 success=55.0% pdr=26.4% (795s)
[XM-noTrans s55] step 62208/300000 success=50.0% pdr=26.6% (817s)
[XM-noTrans s55] step 66816/300000 success=50.0% pdr=27.2% (844s)
[XM-noTrans s55] step 71424/300000 success=45.0% pdr=30.3% (876s)
[XM-noTrans s55] step 73728/300000 success=45.0% pdr=31.5% (894s)
[XM-noTrans s55] step 78336/300000 success=35.0% pdr=32.5% (923s)
[XM-noTrans s55] step 82944/300000 success=35.0% pdr=27.8% (950s)
[XM-noTrans s55] step 87552/300000 success=35.0% pdr=26.3% (983s)
[XM-noTrans s55] step 92160/300000 success=45.0% pdr=32.3% (1040s)
[XM-noTrans s55] step 94464/300000 success=45.0% pdr=34.7% (1072s)
[XM-noTrans s55] step 99072/300000 success=45.0% pdr=36.9% (1130s)
[XM-noTrans s55] step 103680/300000 success=45.0% pdr=39.4% (1221s)
[XM-noTrans s55] step 108288/300000 success=35.0% pdr=43.1% (1277s)
[XM-noTrans s55] step 110592/300000 success=45.0% pdr=43.8% (1307s)
[XM-noTrans s55] step 115200/300000 success=50.0% pdr=42.8% (1358s)
[XM-noTrans s55] step 119808/300000 success=50.0% pdr=42.5% (1442s)
[XM-noTrans s55] step 124416/300000 success=50.0% pdr=40.0% (1521s)
[XM-noTrans s55] step 129024/300000 success=50.0% pdr=39.2% (1571s)
[XM-noTrans s55] step 131328/300000 success=50.0% pdr=39.2% (1601s)
[XM-noTrans s55] step 135936/300000 success=45.0% pdr=41.9% (1652s)
[XM-noTrans s55] step 140544/300000 success=45.0% pdr=41.3% (1739s)
[XM-noTrans s55] step 145152/300000 success=45.0% pdr=36.7% (1808s)
[XM-noTrans s55] step 147456/300000 success=45.0% pdr=36.9% (1838s)
[XM-noTrans s55] step 152064/300000 success=45.0% pdr=38.1% (1889s)
[XM-noTrans s55] step 156672/300000 success=55.0% pdr=40.1% (1947s)
[XM-noTrans s55] step 161280/300000 success=70.0% pdr=43.7% (2042s)
[XM-noTrans s55] step 165888/300000 success=65.0% pdr=47.6% (2097s)
[XM-noTrans s55] step 168192/300000 success=65.0% pdr=48.7% (2129s)
[XM-noTrans s55] step 172800/300000 success=50.0% pdr=48.5% (2184s)
[XM-noTrans s55] step 177408/300000 success=55.0% pdr=49.7% (2279s)
[XM-noTrans s55] step 182016/300000 success=60.0% pdr=50.4% (2351s)
[XM-noTrans s55] step 184320/300000 success=60.0% pdr=49.9% (2382s)
[XM-noTrans s55] step 188928/300000 success=55.0% pdr=50.7% (2433s)
[XM-noTrans s55] step 193536/300000 success=60.0% pdr=47.6% (2492s)
[XM-noTrans s55] step 198144/300000 success=60.0% pdr=44.9% (2590s)
[XM-noTrans s55] step 202752/300000 success=45.0% pdr=42.2% (2648s)
[XM-noTrans s55] step 205056/300000 success=40.0% pdr=42.2% (2679s)
[XM-noTrans s55] step 209664/300000 success=45.0% pdr=44.7% (2727s)
[XM-noTrans s55] step 214272/300000 success=45.0% pdr=44.7% (2795s)
[XM-noTrans s55] step 218880/300000 success=45.0% pdr=45.0% (2883s)
[XM-noTrans s55] step 221184/300000 success=45.0% pdr=45.2% (2916s)
[XM-noTrans s55] step 225792/300000 success=45.0% pdr=44.5% (2969s)
[XM-noTrans s55] step 230400/300000 success=45.0% pdr=44.8% (3022s)
[XM-noTrans s55] step 235008/300000 success=45.0% pdr=45.3% (3099s)
[XM-noTrans s55] step 239616/300000 success=35.0% pdr=44.8% (3183s)
[XM-noTrans s55] step 241920/300000 success=35.0% pdr=44.6% (3214s)
[XM-noTrans s55] step 246528/300000 success=30.0% pdr=45.1% (3267s)
[XM-noTrans s55] step 251136/300000 success=35.0% pdr=44.8% (3319s)
[XM-noTrans s55] step 255744/300000 success=40.0% pdr=44.7% (3400s)
[XM-noTrans s55] step 258048/300000 success=40.0% pdr=44.5% (3453s)
[XM-noTrans s55] step 262656/300000 success=30.0% pdr=44.1% (3505s)
[XM-noTrans s55] step 267264/300000 success=30.0% pdr=43.4% (3557s)
[XM-noTrans s55] step 271872/300000 success=40.0% pdr=43.0% (3614s)
[XM-noTrans s55] step 276480/300000 success=45.0% pdr=43.3% (3707s)
[XM-noTrans s55] step 278784/300000 success=45.0% pdr=43.5% (3744s)
[XM-noTrans s55] step 283392/300000 success=45.0% pdr=44.3% (3793s)
[XM-noTrans s55] step 288000/300000 success=40.0% pdr=45.3% (3844s)
[XM-noTrans s55] step 292608/300000 success=45.0% pdr=46.1% (3898s)
[XM-noTrans s55] step 294912/300000 success=50.0% pdr=46.6% (3948s)
[XM-noTrans s55] step 299520/300000 success=50.0% pdr=46.8% (4044s)
FINAL XM-noTrans s55: success=35.0%  pdr=47.9%  antijam=95.7%  sinr=2.84dB  energy=1.026
