=== XM-MADRL seed=44 steps=300000 device=cpu ===
[XM-MADRL s44] step 4608/300000 success=45.0% pdr=25.5% (27s)
[XM-MADRL s44] step 9216/300000 success=45.0% pdr=25.9% (53s)
[XM-MADRL s44] step 13824/300000 success=55.0% pdr=24.4% (80s)
[XM-MADRL s44] step 18432/300000 success=50.0% pdr=24.0% (109s)
[XM-MADRL s44] step 20736/300000 success=55.0% pdr=26.1% (126s)
[XM-MADRL s44] step 25344/300000 success=50.0% pdr=28.7% (159s)
[XM-MADRL s44] step 29952/300000 success=35.0% pdr=35.9% (191s)
[XM-MADRL s44] step 34560/300000 success=35.0% pdr=38.5% (227s)
[XM-MADRL s44] step 36864/300000 success=30.0% pdr=40.1% (245s)
[XM-MADRL s44] step 41472/300000 success=35.0% pdr=42.6% (281s)
[XM-MADRL s44] step 46080/300000 success=45.0% pdr=43.6% (311s)
[XM-MADRL s44] step 50688/300000 success=45.0% pdr=43.7% (343s)
[XM-MADRL s44] step 55296/300000 success=40.0% pdr=43.6% (373s)
[XM-MADRL s44] step 57600/300000 success=45.0% pdr=44.1% (391s)
[XM-MADRL s44] step 62208/300000 success=45.0% pdr=47.6% (424s)
[XM-MADRL s44] step 66816/300000 success=45.0% pdr=44.4% (453s)
[XM-MADRL s44] step 71424/300000 success=45.0% pdr=44.5% (482s)
[XM-MADRL s44] step 73728/300000 success=45.0% pdr=44.2% (499s)
[XM-MADRL s44] step 78336/300000 success=45.0% pdr=41.7% (528s)
[XM-MADRL s44] step 82944/300000 success=50.0% pdr=38.0% (556s)
[XM-MADRL s44] step 87552/300000 success=45.0% pdr=33.2% (592s)
[XM-MADRL s44] step 92160/300000 success=45.0% pdr=29.4% (643s)
[XM-MADRL s44] step 94464/300000 success=35.0% pdr=27.3% (672s)
[XM-MADRL s44] step 99072/300000 success=45.0% pdr=24.5% (725s)
[XM-MADRL s44] step 103680/300000 success=40.0% pdr=23.7% (811s)
[XM-MADRL s44] step 108288/300000 success=40.0% pdr=29.6% (903s)
[XM-MADRL s44] step 110592/300000 success=45.0% pdr=34.4% (936s)
[XM-MADRL s44] step 115200/300000 success=35.0% pdr=42.5% (989s)
[XM-MADRL s44] step 119808/300000 success=45.0% pdr=43.1% (1045s)
[XM-MADRL s44] step 124416/300000 success=30.0% pdr=45.8% (1129s)
[XM-MADRL s44] step 129024/300000 success=40.0% pdr=44.0% (1208s)
[XM-MADRL s44] step 131328/300000 success=40.0% pdr=42.3% (1238s)
