=== PPO seed=11 steps=300000 device=cpu ===
[PPO s11] step 4096/300000 success=40.0% pdr=15.1% (6s)
[PPO s11] step 8192/300000 success=35.0% pdr=35.7% (12s)
[PPO s11] step 12288/300000 success=40.0% pdr=34.7% (17s)
[PPO s11] step 16384/300000 success=45.0% pdr=35.9% (23s)
[PPO s11] step 20480/300000 success=40.0% pdr=44.2% (29s)
[PPO s11] step 24576/300000 success=30.0% pdr=43.0% (35s)
[PPO s11] step 28672/300000 success=35.0% pdr=43.1% (41s)
[PPO s11] step 32768/300000 success=30.0% pdr=40.2% (47s)
[PPO s11] step 36864/300000 success=45.0% pdr=45.7% (53s)
[PPO s11] step 40960/300000 success=45.0% pdr=42.3% (59s)
[PPO s11] step 45056/300000 success=45.0% pdr=43.8% (65s)
[PPO s11] step 49152/300000 success=35.0% pdr=44.1% (70s)
[PPO s11] step 53248/300000 success=40.0% pdr=44.7% (76s)
[PPO s11] step 57344/300000 success=35.0% pdr=44.0% (81s)
[PPO s11] step 61440/300000 success=30.0% pdr=43.5% (87s)
[PPO s11] step 65536/300000 success=35.0% pdr=43.8% (93s)
[PPO s11] step 69632/300000 success=30.0% pdr=45.9% (99s)
[PPO s11] step 73728/300000 success=30.0% pdr=45.7% (105s)
[PPO s11] step 77824/300000 success=30.0% pdr=45.6% (110s)
[PPO s11] step 81920/300000 success=35.0% pdr=45.0% (116s)
[PPO s11] step 86016/300000 success=30.0% pdr=44.6% (122s)
[PPO s11] step 90112/300000 success=35.0% pdr=42.6% (128s)
[PPO s11] step 94208/300000 success=35.0% pdr=45.7% (133s)
[PPO s11] step 98304/300000 success=40.0% pdr=46.9% (139s)
[PPO s11] step 102400/300000 success=35.0% pdr=44.8% (144s)
[PPO s11] step 106496/300000 success=30.0% pdr=46.3% (150s)
[PPO s11] step 110592/300000 success=40.0% pdr=46.8% (156s)
[PPO s11] step 114688/300000 success=35.0% pdr=44.9% (162s)
[PPO s11] step 118784/300000 success=40.0% pdr=45.1% (167s)
[PPO s11] step 122880/300000 success=35.0% pdr=47.0% (173s)
[PPO s11] step 126976/300000 success=30.0% pdr=45.2% (179s)
[PPO s11] step 131072/300000 success=30.0% pdr=46.5% (184s)
[PPO s11] step 135168/300000 success=30.0% pdr=45.9% (190s)
[PPO s11] step 139264/300000 success=45.0% pdr=45.7% (196s)
[PPO s11] step 143360/300000 success=40.0% pdr=44.1% (202s)
[PPO s11] step 147456/300000 success=30.0% pdr=47.3% (207s)
[PPO s11] step 151552/300000 success=50.0% pdr=46.8% (213s)
[PPO s11] step 155648/300000 success=40.0% pdr=46.6% (219s)
[PPO s11] step 159744/300000 success=30.0% pdr=46.7% (225s)
[PPO s11] step 163840/300000 success=35.0% pdr=46.6% (231s)
[PPO s11] step 167936/300000 success=25.0% pdr=46.8% (237s)
[PPO s11] step 172032/300000 success=30.0% pdr=47.5% (248s)
[PPO s11] step 176128/300000 success=30.0% pdr=46.5% (263s)
[PPO s11] step 180224/300000 success=40.0% pdr=47.1% (281s)
[PPO s11] step 184320/300000 success=30.0% pdr=46.7% (297s)
[PPO s11] step 188416/300000 success=30.0% pdr=46.8% (310s)
[PPO s11] step 192512/300000 success=35.0% pdr=47.0% (324s)
[PPO s11] step 196608/300000 success=45.0% pdr=46.6% (338s)
[PPO s11] step 200704/300000 success=35.0% pdr=47.0% (350s)
[PPO s11] step 204800/300000 success=35.0% pdr=47.4% (360s)
[PPO s11] step 208896/300000 success=30.0% pdr=46.8% (371s)
[PPO s11] step 212992/300000 success=50.0% pdr=46.6% (383s)
[PPO s11] step 217088/300000 success=30.0% pdr=46.6% (394s)
[PPO s11] step 221184/300000 success=30.0% pdr=45.5% (404s)
[PPO s11] step 225280/300000 success=35.0% pdr=45.5% (416s)
[PPO s11] step 229376/300000 success=30.0% pdr=46.0% (429s)
[PPO s11] step 233472/300000 success=30.0% pdr=47.2% (441s)
[PPO s11] step 237568/300000 success=25.0% pdr=46.0% (453s)
[PPO s11] step 241664/300000 success=30.0% pdr=44.5% (466s)
[PPO s11] step 245760/300000 success=30.0% pdr=45.5% (479s)
[PPO s11] step 249856/300000 success=35.0% pdr=46.4% (497s)
[PPO s11] step 253952/300000 success=30.0% pdr=46.5% (512s)
[PPO s11] step 258048/300000 success=40.0% pdr=47.4% (533s)
[PPO s11] step 262144/300000 success=30.0% pdr=47.6% (548s)
[PPO s11] step 266240/300000 success=25.0% pdr=47.4% (565s)
[PPO s11] step 270336/300000 success=30.0% pdr=46.3% (578s)
[PPO s11] step 274432/300000 success=30.0% pdr=47.0% (591s)
[PPO s11] step 278528/300000 success=30.0% pdr=47.8% (602s)
[PPO s11] step 282624/300000 success=25.0% pdr=47.4% (612s)
[PPO s11] step 286720/300000 success=30.0% pdr=46.4% (625s)
[PPO s11] step 290816/300000 success=35.0% pdr=46.5% (637s)
[PPO s11] step 294912/300000 success=40.0% pdr=47.7% (649s)
[PPO s11] step 299008/300000 success=30.0% pdr=46.9% (661s)
FINAL PPO s11: success=50.8%  pdr=44.5%  antijam=98.3%  sinr=2.41dB  energy=1.702
