=== PPO seed=22 steps=300000 device=cpu ===
[PPO s22] step 4096/300000 success=60.0% pdr=22.6% (7s)
[PPO s22] step 8192/300000 success=75.0% pdr=23.2% (14s)
[PPO s22] step 12288/300000 success=45.0% pdr=25.5% (22s)
[PPO s22] step 16384/300000 success=60.0% pdr=25.8% (28s)
[PPO s22] step 20480/300000 success=65.0% pdr=27.0% (35s)
[PPO s22] step 24576/300000 success=45.0% pdr=28.0% (43s)
[PPO s22] step 28672/300000 success=70.0% pdr=27.3% (50s)
[PPO s22] step 32768/300000 success=70.0% pdr=28.2% (57s)
[PPO s22] step 36864/300000 success=70.0% pdr=28.1% (64s)
[PPO s22] step 40960/300000 success=70.0% pdr=28.6% (71s)
[PPO s22] step 45056/300000 success=45.0% pdr=28.3% (78s)
[PPO s22] step 49152/300000 success=70.0% pdr=28.7% (85s)
[PPO s22] step 53248/300000 success=45.0% pdr=27.7% (102s)
[PPO s22] step 57344/300000 success=65.0% pdr=27.2% (132s)
[PPO s22] step 61440/300000 success=45.0% pdr=28.1% (163s)
[PPO s22] step 65536/300000 success=60.0% pdr=28.3% (194s)
[PPO s22] step 69632/300000 success=50.0% pdr=27.8% (224s)
[PPO s22] step 73728/300000 success=60.0% pdr=27.8% (254s)
[PPO s22] step 77824/300000 success=50.0% pdr=28.2% (285s)
[PPO s22] step 81920/300000 success=50.0% pdr=28.1% (315s)
[PPO s22] step 86016/300000 success=45.0% pdr=28.2% (346s)
[PPO s22] step 90112/300000 success=55.0% pdr=28.3% (376s)
[PPO s22] step 94208/300000 success=55.0% pdr=28.3% (407s)
[PPO s22] step 98304/300000 success=45.0% pdr=28.1% (437s)
[PPO s22] step 102400/300000 success=60.0% pdr=28.2% (468s)
[PPO s22] step 106496/300000 success=45.0% pdr=28.4% (499s)
[PPO s22] step 110592/300000 success=50.0% pdr=28.4% (530s)
[PPO s22] step 114688/300000 success=50.0% pdr=28.2% (558s)
[PPO s22] step 118784/300000 success=60.0% pdr=28.5% (565s)
[PPO s22] step 122880/300000 success=45.0% pdr=28.3% (573s)
[PPO s22] step 126976/300000 success=65.0% pdr=28.2% (600s)
[PPO s22] step 131072/300000 success=55.0% pdr=28.5% (613s)
[PPO s22] step 135168/300000 success=55.0% pdr=27.8% (619s)
[PPO s22] step 139264/300000 success=45.0% pdr=28.4% (626s)
[PPO s22] step 143360/300000 success=50.0% pdr=28.1% (633s)
[PPO s22] step 147456/300000 success=50.0% pdr=28.2% (640s)
[PPO s22] step 151552/300000 success=50.0% pdr=28.2% (646s)
[PPO s22] step 155648/300000 success=50.0% pdr=28.0% (653s)
[PPO s22] step 159744/300000 success=50.0% pdr=26.8% (660s)
[PPO s22] step 163840/300000 success=60.0% pdr=28.4% (667s)
[PPO s22] step 167936/300000 success=55.0% pdr=28.1% (674s)
[PPO s22] step 172032/300000 success=50.0% pdr=28.1% (680s)
[PPO s22] step 176128/300000 success=50.0% pdr=28.5% (687s)
[PPO s22] step 180224/300000 success=65.0% pdr=28.6% (694s)
[PPO s22] step 184320/300000 success=55.0% pdr=28.3% (701s)
[PPO s22] step 188416/300000 success=50.0% pdr=28.3% (708s)
[PPO s22] step 192512/300000 success=55.0% pdr=28.8% (715s)
[PPO s22] step 196608/300000 success=45.0% pdr=28.3% (721s)
[PPO s22] step 200704/300000 success=65.0% pdr=28.6% (728s)
[PPO s22] step 204800/300000 success=50.0% pdr=28.2% (735s)
[PPO s22] step 208896/300000 success=70.0% pdr=28.6% (742s)
[PPO s22] step 212992/300000 success=50.0% pdr=28.4% (749s)
[PPO s22] step 217088/300000 success=50.0% pdr=28.8% (756s)
[PPO s22] step 221184/300000 success=50.0% pdr=28.2% (764s)
[PPO s22] step 225280/300000 success=60.0% pdr=28.4% (771s)
[PPO s22] step 229376/300000 success=50.0% pdr=27.9% (784s)
[PPO s22] step 233472/300000 success=50.0% pdr=28.4% (815s)
[PPO s22] step 237568/300000 success=60.0% pdr=28.4% (846s)
[PPO s22] step 241664/300000 success=45.0% pdr=27.9% (876s)
[PPO s22] step 245760/300000 success=45.0% pdr=28.1% (907s)
[PPO s22] step 249856/300000 success=50.0% pdr=28.1% (937s)
[PPO s22] step 253952/300000 success=65.0% pdr=27.7% (968s)
[PPO s22] step 258048/300000 success=65.0% pdr=28.3% (998s)
[PPO s22] step 262144/300000 success=55.0% pdr=28.2% (1008s)
[PPO s22] step 266240/300000 success=55.0% pdr=27.8% (1037s)
[PPO s22] step 270336/300000 success=55.0% pdr=28.4% (1066s)
[PPO s22] step 274432/300000 success=55.0% pdr=27.9% (1096s)
[PPO s22] step 278528/300000 success=45.0% pdr=28.1% (1125s)
[PPO s22] step 282624/300000 success=55.0% pdr=27.7% (1145s)
[PPO s22] step 286720/300000 success=50.0% pdr=28.3% (1152s)
[PPO s22] step 290816/300000 success=50.0% pdr=28.2% (1159s)
[PPO s22] step 294912/300000 success=45.0% pdr=27.8% (1166s)
[PPO s22] step 299008/300000 success=55.0% pdr=28.0% (1173s)
FINAL PPO s22: success=65.0%  pdr=27.2%  antijam=98.4%  sinr=0.69dB  energy=2.327
