=== XM-MADRL seed=22 steps=300000 device=cpu ===
[XM-MADRL s22] step 4608/300000 success=60.0% pdr=5.2% (118s)
[XM-MADRL s22] step 9216/300000 success=65.0% pdr=6.9% (199s)
[XM-MADRL s22] step 13824/300000 success=50.0% pdr=10.5% (277s)
[XM-MADRL s22] step 18432/300000 success=45.0% pdr=15.3% (390s)
[XM-MADRL s22] step 20736/300000 success=50.0% pdr=18.6% (433s)
[XM-MADRL s22] step 25344/300000 success=65.0% pdr=19.5% (512s)
[XM-MADRL s22] step 29952/300000 success=70.0% pdr=20.4% (627s)
[XM-MADRL s22] step 34560/300000 success=70.0% pdr=19.7% (713s)
[XM-MADRL s22] step 36864/300000 success=70.0% pdr=21.2% (757s)
[XM-MADRL s22] step 41472/300000 success=60.0% pdr=21.6% (846s)
[XM-MADRL s22] step 46080/300000 success=70.0% pdr=20.9% (959s)
[XM-MADRL s22] step 50688/300000 success=65.0% pdr=20.5% (1038s)
[XM-MADRL s22] step 55296/300000 success=65.0% pdr=21.3% (1119s)
[XM-MADRL s22] step 57600/300000 success=50.0% pdr=22.5% (1181s)
[XM-MADRL s22] step 62208/300000 success=75.0% pdr=19.7% (1242s)
[XM-MADRL s22] step 66816/300000 success=75.0% pdr=15.7% (1281s)
[XM-MADRL s22] step 71424/300000 success=75.0% pdr=15.2% (1320s)
[XM-MADRL s22] step 73728/300000 success=75.0% pdr=15.9% (1341s)
[XM-MADRL s22] step 78336/300000 success=70.0% pdr=17.2% (1379s)
[XM-MADRL s22] step 82944/300000 success=60.0% pdr=17.6% (1525s)
[XM-MADRL s22] step 87552/300000 success=70.0% pdr=18.3% (1676s)
[XM-MADRL s22] step 92160/300000 success=75.0% pdr=18.2% (1828s)
[XM-MADRL s22] step 94464/300000 success=75.0% pdr=18.5% (1867s)
[XM-MADRL s22] step 99072/300000 success=75.0% pdr=19.5% (1928s)
[XM-MADRL s22] step 103680/300000 success=75.0% pdr=20.8% (1965s)
[XM-MADRL s22] step 108288/300000 success=70.0% pdr=21.5% (2003s)
[XM-MADRL s22] step 110592/300000 success=75.0% pdr=21.7% (2024s)
[XM-MADRL s22] step 115200/300000 success=70.0% pdr=23.3% (2062s)
[XM-MADRL s22] step 119808/300000 success=75.0% pdr=24.0% (2194s)
