=== XM-MADRL seed=11 steps=300000 device=cpu ===
[XM-MADRL s11] step 4608/300000 success=50.0% pdr=17.6% (116s)
[XM-MADRL s11] step 9216/300000 success=50.0% pdr=18.7% (199s)
[XM-MADRL s11] step 13824/300000 success=50.0% pdr=19.6% (276s)
[XM-MADRL s11] step 18432/300000 success=70.0% pdr=21.7% (389s)
[XM-MADRL s11] step 20736/300000 success=50.0% pdr=22.9% (433s)
[XM-MADRL s11] step 25344/300000 success=70.0% pdr=22.7% (513s)
[XM-MADRL s11] step 29952/300000 success=75.0% pdr=22.8% (626s)
[XM-MADRL s11] step 34560/300000 success=70.0% pdr=21.2% (714s)
[XM-MADRL s11] step 36864/300000 success=70.0% pdr=21.3% (759s)
[XM-MADRL s11] step 41472/300000 success=80.0% pdr=20.0% (845s)
[XM-MADRL s11] step 46080/300000 success=70.0% pdr=16.5% (958s)
[XM-MADRL s11] step 50688/300000 success=55.0% pdr=16.7% (1038s)
[XM-MADRL s11] step 55296/300000 success=65.0% pdr=15.7% (1118s)
[XM-MADRL s11] step 57600/300000 success=65.0% pdr=14.9% (1176s)
[XM-MADRL s11] step 62208/300000 success=65.0% pdr=16.1% (1243s)
[XM-MADRL s11] step 66816/300000 success=55.0% pdr=17.6% (1281s)
[XM-MADRL s11] step 71424/300000 success=65.0% pdr=19.7% (1319s)
[XM-MADRL s11] step 73728/300000 success=65.0% pdr=19.9% (1341s)
[XM-MADRL s11] step 78336/300000 success=55.0% pdr=20.2% (1379s)
[XM-MADRL s11] step 82944/300000 success=50.0% pdr=20.7% (1513s)
[XM-MADRL s11] step 87552/300000 success=65.0% pdr=21.2% (1664s)
[XM-MADRL s11] step 92160/300000 success=50.0% pdr=21.7% (1816s)
[XM-MADRL s11] step 94464/300000 success=60.0% pdr=22.1% (1866s)
[XM-MADRL s11] step 99072/300000 success=60.0% pdr=23.0% (1928s)
[XM-MADRL s11] step 103680/300000 success=50.0% pdr=24.0% (1965s)
[XM-MADRL s11] step 108288/300000 success=60.0% pdr=25.5% (2003s)
[XM-MADRL s11] step 110592/300000 success=55.0% pdr=25.6% (2024s)
[XM-MADRL s11] step 115200/300000 success=45.0% pdr=25.6% (2062s)
[XM-MADRL s11] step 119808/300000 success=50.0% pdr=25.4% (2185s)
[XM-MADRL s11] step 124416/300000 success=65.0% pdr=25.2% (2315s)
[XM-MADRL s11] step 129024/300000 success=70.0% pdr=25.2% (2444s)
[XM-MADRL s11] step 131328/300000 success=70.0% pdr=25.1% (2465s)
[XM-MADRL s11] step 135936/300000 success=75.0% pdr=25.6% (2501s)
[XM-MADRL s11] step 140544/300000 success=65.0% pdr=25.0% (2536s)
[XM-MADRL s11] step 145152/300000 success=65.0% pdr=26.3% (2571s)
[XM-MADRL s11] step 147456/300000 success=65.0% pdr=26.9% (2590s)
[XM-MADRL s11] step 152064/300000 success=70.0% pdr=26.9% (2628s)
[XM-MADRL s11] step 156672/300000 success=70.0% pdr=26.3% (2696s)
[XM-MADRL s11] step 161280/300000 success=75.0% pdr=23.2% (2761s)
[XM-MADRL s11] step 165888/300000 success=75.0% pdr=21.6% (2821s)
