=== PPO seed=22 steps=300000 device=cpu ===
[PPO s22] step 4096/300000 success=30.0% pdr=51.3% (4s)
[PPO s22] step 8192/300000 success=50.0% pdr=65.9% (8s)
[PPO s22] step 12288/300000 success=40.0% pdr=50.0% (13s)
[PPO s22] step 16384/300000 success=35.0% pdr=39.9% (17s)
[PPO s22] step 20480/300000 success=40.0% pdr=63.2% (21s)
[PPO s22] step 24576/300000 success=35.0% pdr=65.0% (25s)
[PPO s22] step 28672/300000 success=35.0% pdr=58.4% (29s)
[PPO s22] step 32768/300000 success=45.0% pdr=53.3% (33s)
[PPO s22] step 36864/300000 success=35.0% pdr=65.2% (38s)
[PPO s22] step 40960/300000 success=40.0% pdr=66.3% (42s)
[PPO s22] step 45056/300000 success=55.0% pdr=58.5% (46s)
[PPO s22] step 49152/300000 success=45.0% pdr=66.0% (50s)
[PPO s22] step 53248/300000 success=35.0% pdr=64.4% (54s)
[PPO s22] step 57344/300000 success=45.0% pdr=64.8% (58s)
[PPO s22] step 61440/300000 success=35.0% pdr=64.5% (62s)
[PPO s22] step 65536/300000 success=35.0% pdr=60.0% (67s)
[PPO s22] step 69632/300000 success=45.0% pdr=65.0% (71s)
[PPO s22] step 73728/300000 success=45.0% pdr=65.0% (75s)
[PPO s22] step 77824/300000 success=45.0% pdr=65.9% (79s)
[PPO s22] step 81920/300000 success=50.0% pdr=63.2% (83s)
[PPO s22] step 86016/300000 success=35.0% pdr=64.8% (87s)
[PPO s22] step 90112/300000 success=35.0% pdr=62.4% (91s)
[PPO s22] step 94208/300000 success=45.0% pdr=66.3% (95s)
[PPO s22] step 98304/300000 success=45.0% pdr=66.5% (99s)
[PPO s22] step 102400/300000 success=40.0% pdr=66.8% (103s)
[PPO s22] step 106496/300000 success=35.0% pdr=68.2% (107s)
[PPO s22] step 110592/300000 success=35.0% pdr=67.6% (111s)
[PPO s22] step 114688/300000 success=35.0% pdr=66.3% (115s)
[PPO s22] step 118784/300000 success=50.0% pdr=68.0% (120s)
[PPO s22] step 122880/300000 success=55.0% pdr=66.8% (124s)
[PPO s22] step 126976/300000 success=30.0% pdr=66.8% (128s)
[PPO s22] step 131072/300000 success=35.0% pdr=67.5% (132s)
[PPO s22] step 135168/300000 success=50.0% pdr=66.2% (136s)
[PPO s22] step 139264/300000 success=35.0% pdr=64.9% (140s)
[PPO s22] step 143360/300000 success=35.0% pdr=67.3% (144s)
[PPO s22] step 147456/300000 success=50.0% pdr=66.8% (149s)
[PPO s22] step 151552/300000 success=35.0% pdr=66.2% (153s)
[PPO s22] step 155648/300000 success=30.0% pdr=66.3% (157s)
[PPO s22] step 159744/300000 success=45.0% pdr=68.0% (161s)
[PPO s22] step 163840/300000 success=40.0% pdr=66.6% (165s)
[PPO s22] step 167936/300000 success=35.0% pdr=67.2% (169s)
[PPO s22] step 172032/300000 success=45.0% pdr=66.0% (173s)
[PPO s22] step 176128/300000 success=45.0% pdr=66.0% (177s)
[PPO s22] step 180224/300000 success=35.0% pdr=63.8% (181s)
[PPO s22] step 184320/300000 success=35.0% pdr=63.9% (186s)
[PPO s22] step 188416/300000 success=45.0% pdr=66.0% (190s)
[PPO s22] step 192512/300000 success=40.0% pdr=63.8% (194s)
[PPO s22] step 196608/300000 success=30.0% pdr=67.2% (198s)
[PPO s22] step 200704/300000 success=40.0% pdr=67.4% (202s)
[PPO s22] step 204800/300000 success=35.0% pdr=68.6% (206s)
[PPO s22] step 208896/300000 success=40.0% pdr=65.5% (210s)
[PPO s22] step 212992/300000 success=40.0% pdr=67.3% (217s)
[PPO s22] step 217088/300000 success=50.0% pdr=67.5% (223s)
[PPO s22] step 221184/300000 success=40.0% pdr=66.6% (230s)
[PPO s22] step 225280/300000 success=45.0% pdr=68.1% (238s)
[PPO s22] step 229376/300000 success=30.0% pdr=68.0% (249s)
[PPO s22] step 233472/300000 success=45.0% pdr=68.2% (262s)
[PPO s22] step 237568/300000 success=35.0% pdr=68.5% (272s)
[PPO s22] step 241664/300000 success=40.0% pdr=67.1% (280s)
[PPO s22] step 245760/300000 success=35.0% pdr=66.4% (288s)
[PPO s22] step 249856/300000 success=40.0% pdr=67.6% (296s)
[PPO s22] step 253952/300000 success=40.0% pdr=64.4% (304s)
[PPO s22] step 258048/300000 success=50.0% pdr=67.9% (311s)
[PPO s22] step 262144/300000 success=45.0% pdr=67.8% (319s)
[PPO s22] step 266240/300000 success=45.0% pdr=69.2% (326s)
[PPO s22] step 270336/300000 success=55.0% pdr=67.9% (334s)
[PPO s22] step 274432/300000 success=45.0% pdr=68.5% (341s)
[PPO s22] step 278528/300000 success=30.0% pdr=66.0% (350s)
[PPO s22] step 282624/300000 success=35.0% pdr=67.1% (358s)
[PPO s22] step 286720/300000 success=35.0% pdr=63.3% (367s)
[PPO s22] step 290816/300000 success=35.0% pdr=67.0% (376s)
[PPO s22] step 294912/300000 success=30.0% pdr=66.4% (387s)
[PPO s22] step 299008/300000 success=40.0% pdr=64.5% (394s)
FINAL PPO s22: success=27.5%  pdr=62.9%  antijam=97.8%  sinr=4.48dB  energy=0.801
