=== PPO seed=11 steps=300000 device=cpu ===
[PPO s11] step 4096/300000 success=40.0% pdr=24.7% (4s)
[PPO s11] step 8192/300000 success=35.0% pdr=45.9% (8s)
[PPO s11] step 12288/300000 success=45.0% pdr=14.3% (13s)
[PPO s11] step 16384/300000 success=40.0% pdr=51.3% (17s)
[PPO s11] step 20480/300000 success=35.0% pdr=49.1% (21s)
[PPO s11] step 24576/300000 success=35.0% pdr=46.3% (25s)
[PPO s11] step 28672/300000 success=35.0% pdr=47.9% (29s)
[PPO s11] step 32768/300000 success=50.0% pdr=54.6% (33s)
[PPO s11] step 36864/300000 success=55.0% pdr=60.3% (38s)
[PPO s11] step 40960/300000 success=35.0% pdr=59.5% (42s)
[PPO s11] step 45056/300000 success=35.0% pdr=61.4% (46s)
[PPO s11] step 49152/300000 success=45.0% pdr=61.5% (50s)
[PPO s11] step 53248/300000 success=40.0% pdr=61.5% (54s)
[PPO s11] step 57344/300000 success=40.0% pdr=59.1% (58s)
[PPO s11] step 61440/300000 success=45.0% pdr=52.6% (63s)
[PPO s11] step 65536/300000 success=35.0% pdr=57.0% (67s)
[PPO s11] step 69632/300000 success=35.0% pdr=57.6% (71s)
[PPO s11] step 73728/300000 success=30.0% pdr=58.4% (75s)
[PPO s11] step 77824/300000 success=50.0% pdr=62.2% (79s)
[PPO s11] step 81920/300000 success=35.0% pdr=65.1% (83s)
[PPO s11] step 86016/300000 success=35.0% pdr=63.3% (87s)
[PPO s11] step 90112/300000 success=35.0% pdr=58.6% (91s)
[PPO s11] step 94208/300000 success=45.0% pdr=65.0% (95s)
[PPO s11] step 98304/300000 success=50.0% pdr=66.4% (100s)
[PPO s11] step 102400/300000 success=45.0% pdr=65.5% (104s)
[PPO s11] step 106496/300000 success=50.0% pdr=64.7% (108s)
[PPO s11] step 110592/300000 success=45.0% pdr=66.0% (112s)
[PPO s11] step 114688/300000 success=50.0% pdr=65.1% (116s)
[PPO s11] step 118784/300000 success=40.0% pdr=66.7% (120s)
[PPO s11] step 122880/300000 success=35.0% pdr=67.6% (124s)
[PPO s11] step 126976/300000 success=35.0% pdr=63.9% (128s)
[PPO s11] step 131072/300000 success=45.0% pdr=66.3% (132s)
[PPO s11] step 135168/300000 success=35.0% pdr=64.2% (137s)
[PPO s11] step 139264/300000 success=35.0% pdr=63.0% (141s)
[PPO s11] step 143360/300000 success=45.0% pdr=58.9% (145s)
[PPO s11] step 147456/300000 success=35.0% pdr=59.0% (149s)
[PPO s11] step 151552/300000 success=40.0% pdr=61.8% (153s)
[PPO s11] step 155648/300000 success=30.0% pdr=63.1% (157s)
[PPO s11] step 159744/300000 success=35.0% pdr=66.1% (161s)
[PPO s11] step 163840/300000 success=35.0% pdr=66.5% (166s)
[PPO s11] step 167936/300000 success=45.0% pdr=66.6% (170s)
[PPO s11] step 172032/300000 success=45.0% pdr=65.4% (174s)
[PPO s11] step 176128/300000 success=35.0% pdr=67.9% (178s)
[PPO s11] step 180224/300000 success=35.0% pdr=67.1% (182s)
[PPO s11] step 184320/300000 success=35.0% pdr=68.1% (186s)
[PPO s11] step 188416/300000 success=45.0% pdr=67.2% (190s)
[PPO s11] step 192512/300000 success=60.0% pdr=66.8% (194s)
[PPO s11] step 196608/300000 success=35.0% pdr=66.4% (198s)
[PPO s11] step 200704/300000 success=35.0% pdr=65.6% (202s)
[PPO s11] step 204800/300000 success=35.0% pdr=66.8% (207s)
[PPO s11] step 208896/300000 success=35.0% pdr=67.8% (211s)
[PPO s11] step 212992/300000 success=35.0% pdr=68.1% (218s)
[PPO s11] step 217088/300000 success=35.0% pdr=67.5% (225s)
[PPO s11] step 221184/300000 success=40.0% pdr=66.0% (231s)
[PPO s11] step 225280/300000 success=40.0% pdr=65.9% (241s)
[PPO s11] step 229376/300000 success=30.0% pdr=67.4% (252s)
[PPO s11] step 233472/300000 success=45.0% pdr=66.9% (264s)
[PPO s11] step 237568/300000 success=45.0% pdr=67.8% (273s)
[PPO s11] step 241664/300000 success=45.0% pdr=67.5% (282s)
[PPO s11] step 245760/300000 success=40.0% pdr=67.7% (290s)
[PPO s11] step 249856/300000 success=45.0% pdr=65.7% (298s)
[PPO s11] step 253952/300000 success=45.0% pdr=69.0% (306s)
[PPO s11] step 258048/300000 success=40.0% pdr=68.1% (313s)
[PPO s11] step 262144/300000 success=35.0% pdr=66.5% (320s)
[PPO s11] step 266240/300000 success=30.0% pdr=66.7% (328s)
[PPO s11] step 270336/300000 success=40.0% pdr=67.5% (336s)
[PPO s11] step 274432/300000 success=35.0% pdr=68.5% (343s)
[PPO s11] step 278528/300000 success=45.0% pdr=68.6% (352s)
[PPO s11] step 282624/300000 success=50.0% pdr=67.1% (360s)
[PPO s11] step 286720/300000 success=35.0% pdr=67.1% (369s)
[PPO s11] step 290816/300000 success=35.0% pdr=66.3% (379s)
[PPO s11] step 294912/300000 success=35.0% pdr=66.5% (391s)
[PPO s11] step 299008/300000 success=45.0% pdr=66.7% (396s)
FINAL PPO s11: success=33.3%  pdr=65.7%  antijam=97.9%  sinr=4.71dB  energy=1.171
